district_id,district_name
35440,"Newport, OR"
40620,"Rolla, MO"
34220,"Moultrie, GA"
19000,"Cullowhee, NC"
31580,"Madisonville, KY"
45140,"Tahlequah, OK"
32260,"Marshalltown, IA"
39540,"Racine, WI"
10620,"Albemarle, NC"
44700,"Stockton-Lodi, CA"
19580,"Defiance, OH"
22340,"Fitzgerald, GA"
46620,"Uvalde, TX"
12860,"Batavia, NY"
21300,"Elmira, NY"
23780,"Garden City, KS"
48460,"West Plains, MO"
20340,"Duncan, OK"
30580,"Liberal, KS"
44900,"Summerville, GA"
31860,"Mankato-North Mankato, MN"
23660,"Galesburg, IL"
36940,"Owatonna, MN"
23460,"Gadsden, AL"
29340,"Lake Charles, LA"
15260,"Brunswick, GA"
15500,"Burlington, NC"
13980,"Blacksburg-Christiansburg-Radford, VA"
48660,"Wichita Falls, TX"
38740,"Poplar Bluff, MO"
22820,"Fort Morgan, CO"
43760,"Sonora, CA"
34420,"Mount Pleasant, TX"
16180,"Carson City, NV"
15780,"Camden, AR"
38620,"Ponca City, OK"
37080,"Oxford, NC"
28660,"Killeen-Temple, TX"
32580,"McAllen-Edinburg-Mission, TX"
31740,"Manhattan, KS"
21780,"Evansville, IN-KY"
16740,"Charlotte-Concord-Gastonia, NC-SC"
16500,"Centralia, WA"
21380,"Emporia, KS"
27660,"Jennings, LA"
35840,"North Port-Sarasota-Bradenton, FL"
12780,"Bartlesville, OK"
17620,"Coamo, PR"
44020,"Spirit Lake, IA"
24460,"Great Bend, KS"
32460,"Mayfield, KY"
11980,"Athens, TX"
41260,"St. Marys, PA"
40420,"Rockford, IL"
41660,"San Angelo, TX"
13660,"Big Rapids, MI"
35500,"Newton, IA"
23340,"Fremont, NE"
28340,"Kendallville, IN"
35700,"Nogales, AZ"
12460,"Bainbridge, GA"
18220,"Connersville, IN"
36340,"Oil City, PA"
26780,"Hutchinson, MN"
27060,"Ithaca, NY"
45700,"Tifton, GA"
26220,"Hood River, OR"
27340,"Jacksonville, NC"
49260,"Woodward, OK"
32700,"McPherson, KS"
21740,"Evanston, WY"
36860,"Ottawa-Peru, IL"
29620,"Lansing-East Lansing, MI"
38240,"Pinehurst-Southern Pines, NC"
28820,"Kinston, NC"
17420,"Cleveland, TN"
30660,"Lincoln, IL"
30700,"Lincoln, NE"
43620,"Sioux Falls, SD"
38380,"Plainview, TX"
29860,"Laurel, MS"
20500,"Durham-Chapel Hill, NC"
39140,"Prescott, AZ"
13020,"Bay City, MI"
17020,"Chico, CA"
10140,"Aberdeen, WA"
13060,"Bay City, TX"
26260,"Hope, AR"
32780,"Medford, OR"
31260,"Lufkin, TX"
11700,"Asheville, NC"
16660,"Charleston-Mattoon, IL"
24220,"Grand Forks, ND-MN"
37100,"Oxnard-Thousand Oaks-Ventura, CA"
15660,"Calhoun, GA"
38060,"Phoenix-Mesa-Scottsdale, AZ"
32380,"Mason City, IA"
18060,"Columbus, MS"
41900,"San Germ‡n, PR"
44180,"Springfield, MO"
48580,"Whitewater-Elkhorn, WI"
45580,"Thomaston, GA"
37060,"Oxford, MS"
44780,"Sturgis, MI"
43940,"Spearfish, SD"
26860,"Indiana, PA"
43320,"Show Low, AZ"
26300,"Hot Springs, AR"
27220,"Jackson, WY-ID"
34100,"Morristown, TN"
48540,"Wheeling, WV-OH"
34060,"Morgantown, WV"
14700,"Branson, MO"
33980,"Morehead City, NC"
38100,"Picayune, MS"
30300,"Lewiston, ID-WA"
46500,"Urbana, OH"
40080,"Richmond-Berea, KY"
22500,"Florence, SC"
27940,"Juneau, AK"
36140,"Ocean City, NJ"
27300,"Jacksonville, IL"
23580,"Gainesville, GA"
13420,"Bemidji, MN"
38660,"Ponce, PR"
20580,"Eagle Pass, TX"
24380,"Grants, NM"
14380,"Boone, NC"
38460,"Plattsburgh, NY"
40540,"Rock Springs, WY"
45520,"The Dalles, OR"
17260,"Clarksdale, MS"
23700,"Gallup, NM"
40980,"Saginaw, MI"
19420,"Dayton, TN"
46460,"Union City, TN-KY"
47700,"Warsaw, IN"
28500,"Kerrville, TX"
45300,"Tampa-St. Petersburg-Clearwater, FL"
18880,"Crestview-Fort Walton Beach-Destin, FL"
11640,"Arecibo, PR"
40660,"Rome, GA"
25540,"Hartford-West Hartford-East Hartford, CT"
44540,"Sterling, CO"
36780,"Oshkosh-Neenah, WI"
34500,"Mount Vernon, IL"
39220,"Price, UT"
38540,"Pocatello, ID"
41400,"Salem, OH"
15420,"Burley, ID"
47020,"Victoria, TX"
42540,"Scranton--Wilkes-Barre--Hazleton, PA"
31500,"Madison, IN"
20140,"Dublin, GA"
38700,"Pontiac, IL"
34860,"Nacogdoches, TX"
14140,"Bluefield, WV-VA"
41760,"Sandpoint, ID"
48780,"Williston, ND"
43340,"Shreveport-Bossier City, LA"
44340,"Statesboro, GA"
41100,"St. George, UT"
13700,"Big Spring, TX"
22260,"Fergus Falls, MN"
46180,"Tupelo, MS"
11540,"Appleton, WI"
37140,"Paducah, KY-IL"
16220,"Casper, WY"
29300,"LaGrange, GA"
45740,"Toccoa, GA"
12380,"Austin, MN"
32620,"McComb, MS"
32500,"Maysville, KY"
37460,"Panama City, FL"
18860,"Crescent City, CA"
22620,"Forrest City, AR"
21640,"Eufaula, AL-GA"
40760,"Ruidoso, NM"
14220,"Bogalusa, LA"
43020,"Shawano, WI"
25980,"Hinesville, GA"
19500,"Decatur, IL"
46740,"Valley, AL"
24900,"Greenwood, MS"
18260,"Cookeville, TN"
13340,"Bellefontaine, OH"
41740,"San Diego-Carlsbad, CA"
13300,"Beeville, TX"
45380,"Taylorville, IL"
16260,"Cedar City, UT"
17820,"Colorado Springs, CO"
20100,"Dover, DE"
42740,"Sedalia, MO"
21540,"Escanaba, MI"
25780,"Henderson, NC"
13260,"Bedford, IN"
12680,"Bardstown, KY"
21420,"Enid, OK"
43380,"Sidney, OH"
44660,"Stillwater, OK"
12100,"Atlantic City-Hammonton, NJ"
10860,"Alice, TX"
49820,"Zapata, TX"
24640,"Greenfield Town, MA"
38300,"Pittsburgh, PA"
31940,"Marinette, WI-MI"
44140,"Springfield, MA"
25420,"Harrisburg-Carlisle, PA"
30460,"Lexington-Fayette, KY"
41180,"St. Louis, MO-IL"
19060,"Cumberland, MD-WV"
45060,"Syracuse, NY"
36740,"Orlando-Kissimmee-Sanford, FL"
31180,"Lubbock, TX"
19820,"Detroit-Warren-Dearborn, MI"
36300,"Ogdensburg-Massena, NY"
46520,"Urban Honolulu, HI"
31140,"Louisville/Jefferson County, KY-IN"
12220,"Auburn-Opelika, AL"
10780,"Alexandria, LA"
18500,"Corning, NY"
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
14540,"Bowling Green, KY"
19740,"Denver-Aurora-Lakewood, CO"
44420,"Staunton-Waynesboro, VA"
32820,"Memphis, TN-MS-AR"
28020,"Kalamazoo-Portage, MI"
16420,"Central City, KY"
37580,"Paris, TX"
17980,"Columbus, GA-AL"
18180,"Concord, NH"
23940,"Gillette, WY"
41940,"San Jose-Sunnyvale-Santa Clara, CA"
36580,"Oneonta, NY"
36380,"Okeechobee, FL"
38220,"Pine Bluff, AR"
14500,"Boulder, CO"
38180,"Pierre, SD"
20780,"Edwards, CO"
49180,"Winston-Salem, NC"
40180,"Riverton, WY"
49080,"Winnemucca, NV"
41540,"Salisbury, MD-DE"
38500,"Plymouth, IN"
40340,"Rochester, MN"
10580,"Albany-Schenectady-Troy, NY"
11820,"Astoria, OR"
32940,"Meridian, MS"
28900,"Klamath Falls, OR"
28740,"Kingston, NY"
25860,"Hickory-Lenoir-Morganton, NC"
22520,"Florence-Muscle Shoals, AL"
32300,"Martinsville, VA"
25740,"Helena, MT"
19780,"Des Moines-West Des Moines, IA"
19100,"Dallas-Fort Worth-Arlington, TX"
24740,"Greenville, MS"
46300,"Twin Falls, ID"
40700,"Roseburg, OR"
13100,"Beatrice, NE"
19980,"Dodge City, KS"
44260,"Starkville, MS"
19620,"Del Rio, TX"
46340,"Tyler, TX"
34140,"Moscow, ID"
21700,"Eureka-Arcata-Fortuna, CA"
43780,"South Bend-Mishawaka, IN-MI"
34260,"Mountain Home, AR"
27260,"Jacksonville, FL"
15140,"Brownsville, TN"
34300,"Mountain Home, ID"
15340,"Bucyrus, OH"
15740,"Cambridge, OH"
29980,"Lawrenceburg, TN"
19940,"Dixon, IL"
45000,"Susanville, CA"
19860,"Dickinson, ND"
37220,"Pahrump, NV"
34900,"Napa, CA"
20220,"Dubuque, IA"
33300,"Milledgeville, GA"
14580,"Bozeman, MT"
26620,"Huntsville, AL"
35660,"Niles-Benton Harbor, MI"
18300,"Coos Bay, OR"
10380,"Aguadilla-Isabela, PR"
46380,"Ukiah, CA"
27740,"Johnson City, TN"
32180,"Marshall, MO"
22540,"Fond du Lac, WI"
31680,"Malvern, AR"
29740,"Las Cruces, NM"
46700,"Vallejo-Fairfield, CA"
49020,"Winchester, VA-WV"
11140,"Americus, GA"
43420,"Sierra Vista-Douglas, AZ"
16020,"Cape Girardeau, MO-IL"
18100,"Columbus, NE"
31220,"Ludington, MI"
27500,"Janesville-Beloit, WI"
25500,"Harrisonburg, VA"
10100,"Aberdeen, SD"
29940,"Lawrence, KS"
35100,"New Bern, NC"
40780,"Russellville, AR"
19260,"Danville, VA"
49420,"Yakima, WA"
11780,"Ashtabula, OH"
11460,"Ann Arbor, MI"
44060,"Spokane-Spokane Valley, WA"
46020,"Truckee-Grass Valley, CA"
23380,"Fremont, OH"
24140,"Goldsboro, NC"
43980,"Spencer, IA"
33780,"Monroe, MI"
24980,"Grenada, MS"
26460,"Hudson, NY"
26020,"Hobbs, NM"
27460,"Jamestown-Dunkirk-Fredonia, NY"
17700,"Coffeyville, KS"
44580,"Sterling, IL"
31660,"Malone, NY"
42980,"Seymour, IN"
12740,"Barre, VT"
15060,"Brookings, OR"
39420,"Pullman, WA"
26940,"Indianola, MS"
45620,"Thomasville, GA"
34020,"Morgan City, LA"
35580,"New Ulm, MN"
35020,"Natchez, MS-LA"
22100,"Farmington, MO"
25720,"Heber, UT"
14740,"Bremerton-Silverdale, WA"
20980,"El Dorado, AR"
42100,"Santa Cruz-Watsonville, CA"
20300,"Dumas, TX"
12540,"Bakersfield, CA"
15620,"Cadillac, MI"
22280,"Fernley, NV"
21500,"Erie, PA"
27700,"Jesup, GA"
11220,"Amsterdam, NY"
29900,"Laurinburg, NC"
24540,"Greeley, CO"
18900,"Crossville, TN"
22660,"Fort Collins, CO"
36900,"Ottumwa, IA"
35460,"Newport, TN"
15220,"Brownwood, TX"
13180,"Beaver Dam, WI"
28420,"Kennewick-Richland, WA"
19180,"Danville, IL"
20060,"Douglas, GA"
34660,"Murray, KY"
42860,"Seneca, SC"
33020,"Mexico, MO"
37500,"Paragould, AR"
42340,"Savannah, GA"
37780,"Pecos, TX"
16460,"Centralia, IL"
25820,"Hereford, TX"
15100,"Brookings, SD"
26380,"Houma-Thibodaux, LA"
29660,"Laramie, WY"
13540,"Bennington, VT"
31930,"Marietta, OH"
27420,"Jamestown, ND"
24100,"Gloversville, NY"
34540,"Mount Vernon, OH"
30220,"Levelland, TX"
21460,"Enterprise, AL"
33740,"Monroe, LA"
29540,"Lancaster, PA"
26740,"Hutchinson, KS"
47820,"Washington, NC"
25260,"Hanford-Corcoran, CA"
47940,"Waterloo-Cedar Falls, IA"
21020,"Elizabeth City, NC"
22020,"Fargo, ND-MN"
11580,"Arcadia, FL"
13500,"Bennettsville, SC"
12180,"Auburn, NY"
43500,"Silver City, NM"
27620,"Jefferson City, MO"
25300,"Hannibal, MO"
13620,"Berlin, NH-VT"
47240,"Vineyard Haven, MA"
24860,"Greenville-Anderson-Mauldin, SC"
37620,"Parkersburg-Vienna, WV"
25940,"Hilton Head Island-Bluffton-Beaufort, SC"
36980,"Owensboro, KY"
44980,"Sunbury, PA"
27780,"Johnstown, PA"
14180,"Blytheville, AR"
20740,"Eau Claire, WI"
18660,"Cortland, NY"
39660,"Rapid City, SD"
17300,"Clarksville, TN-KY"
12820,"Bastrop, LA"
10940,"Alma, MI"
24620,"Greeneville, TN"
24420,"Grants Pass, OR"
44460,"Steamboat Springs, CO"
40940,"Safford, AZ"
12980,"Battle Creek, MI"
22140,"Farmington, NM"
25060,"Gulfport-Biloxi-Pascagoula, MS"
48020,"Watertown-Fort Atkinson, WI"
42620,"Searcy, AR"
21900,"Fairmont, WV"
40580,"Rocky Mount, NC"
11500,"Anniston-Oxford-Jacksonville, AL"
31820,"Manitowoc, WI"
22800,"Fort Madison-Keokuk, IA-IL-MO"
16140,"Carroll, IA"
10660,"Albert Lea, MN"
33140,"Michigan City-La Porte, IN"
18700,"Corvallis, OR"
17640,"Coco, PR"
49780,"Zanesville, OH"
12940,"Baton Rouge, LA"
35140,"Newberry, SC"
45980,"Troy, AL"
49460,"Yankton, SD"
21260,"Ellensburg, WA"
47980,"Watertown, SD"
37340,"Palm Bay-Melbourne-Titusville, FL"
20260,"Duluth, MN-WI"
31700,"Manchester-Nashua, NH"
35860,"North Vernon, IN"
25100,"Guymon, OK"
24300,"Grand Junction, CO"
22300,"Findlay, OH"
12660,"Baraboo, WI"
25220,"Hammond, LA"
32100,"Marquette, MI"
14010,"Bloomington, IL"
16580,"Champaign-Urbana, IL"
47380,"Waco, TX"
27540,"Jasper, IN"
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
42420,"Scottsbluff, NE"
26420,"Houston-The Woodlands-Sugar Land, TX"
43460,"Sikeston, MO"
45460,"Terre Haute, IN"
42380,"Sayre, PA"
39860,"Red Wing, MN"
24330,"Grand Rapids, MN"
36660,"Opelousas, LA"
49620,"York-Hanover, PA"
12620,"Bangor, ME"
14620,"Bradford, PA"
15680,"California-Lexington Park, MD"
42900,"Seneca Falls, NY"
34700,"Muscatine, IA"
34380,"Mount Pleasant, MI"
15020,"Brookhaven, MS"
32660,"McMinnville, TN"
24940,"Greenwood, SC"
33340,"Milwaukee-Waukesha-West Allis, WI"
15860,"Ca–on City, CO"
49300,"Wooster, OH"
20900,"El Campo, TX"
16300,"Cedar Rapids, IA"
36700,"Orangeburg, SC"
37120,"Ozark, AL"
39060,"Pottsville, PA"
24820,"Greenville, OH"
33620,"Moberly, MO"
37020,"Owosso, MI"
11940,"Athens, TN"
38940,"Port St. Lucie, FL"
30420,"Lexington, NE"
26980,"Iowa City, IA"
17580,"Clovis, NM"
29780,"Las Vegas, NM"
18020,"Columbus, IN"
14780,"Brenham, TX"
24340,"Grand Rapids-Wyoming, MI"
31900,"Mansfield, OH"
37660,"Parsons, KS"
49100,"Winona, MN"
14100,"Bloomsburg-Berwick, PA"
46100,"Tullahoma-Manchester, TN"
27920,"Junction City, KS"
31620,"Magnolia, AR"
14020,"Bloomington, IN"
43060,"Shawnee, OK"
35820,"North Platte, NE"
18980,"Cullman, AL"
11060,"Altus, OK"
37540,"Paris, TN"
43740,"Somerset, PA"
18620,"Corsicana, TX"
22780,"Fort Leonard Wood, MO"
10760,"Alexander City, AL"
41460,"Salina, KS"
32340,"Maryville, MO"
33420,"Mineral Wells, TX"
23900,"Gettysburg, PA"
17060,"Chillicothe, OH"
23240,"Fredericksburg, TX"
37940,"Peru, IN"
34740,"Muskegon, MI"
14820,"Brevard, NC"
37300,"Palestine, TX"
10300,"Adrian, MI"
10460,"Alamogordo, NM"
16340,"Cedartown, GA"
12900,"Batesville, AR"
46220,"Tuscaloosa, AL"
47920,"Washington Court House, OH"
19660,"Deltona-Daytona Beach-Ormond Beach, FL"
10500,"Albany, GA"
17500,"Clewiston, FL"
31300,"Lumberton, NC"
39020,"Portsmouth, OH"
20820,"Effingham, IL"
49740,"Yuma, AZ"
48820,"Willmar, MN"
28540,"Ketchikan, AK"
17140,"Cincinnati, OH-KY-IN"
28940,"Knoxville, TN"
29100,"La Crosse-Onalaska, WI-MN"
17860,"Columbia, MO"
49660,"Youngstown-Warren-Boardman, OH-PA"
48260,"Weirton-Steubenville, WV-OH"
46980,"Vicksburg, MS"
33260,"Midland, TX"
32140,"Marshall, MN"
35740,"Norfolk, NE"
39700,"Raymondville, TX"
13940,"Blackfoot, ID"
37420,"Pampa, TX"
15980,"Cape Coral-Fort Myers, FL"
48940,"Wilmington, OH"
21180,"Elkins, WV"
19460,"Decatur, AL"
16540,"Chambersburg-Waynesboro, PA"
27600,"Jefferson, GA"
32740,"Meadville, PA"
39460,"Punta Gorda, FL"
24660,"Greensboro-High Point, NC"
11380,"Andrews, TX"
46820,"Vermillion, SD"
20660,"Easton, MD"
48140,"Wausau, WI"
48220,"Weatherford, OK"
40300,"Rochelle, IL"
16940,"Cheyenne, WY"
34620,"Muncie, IN"
41780,"Sandusky, OH"
14340,"Boone, IA"
29460,"Lakeland-Winter Haven, FL"
30380,"Lewistown, PA"
29380,"Lake City, FL"
32280,"Martin, TN"
49220,"Wisconsin Rapids-Marshfield, WI"
32980,"Merrill, WI"
29020,"Kokomo, IN"
48700,"Williamsport, PA"
26090,"Holland, MI"
46900,"Vernon, TX"
28380,"Kennett, MO"
22900,"Fort Smith, AR-OK"
13140,"Beaumont-Port Arthur, TX"
22220,"Fayetteville-Springdale-Rogers, AR-MO"
42300,"Sault Ste. Marie, MI"
32220,"Marshall, TX"
31420,"Macon-Bibb County, GA"
22180,"Fayetteville, NC"
47780,"Washington, IN"
36260,"Ogden-Clearfield, UT"
33940,"Montrose, CO"
11260,"Anchorage, AK"
18140,"Columbus, OH"
11020,"Altoona, PA"
21860,"Fairmont, MN"
10820,"Alexandria, MN"
26820,"Idaho Falls, ID"
30900,"Logansport, IN"
26500,"Huntingdon, PA"
26700,"Huron, SD"
46660,"Valdosta, GA"
39980,"Richmond, IN"
11100,"Amarillo, TX"
12260,"Augusta-Richmond County, GA-SC"
17460,"Cleveland-Elyria, OH"
16860,"Chattanooga, TN-GA"
24580,"Green Bay, WI"
39300,"Providence-Warwick, RI-MA"
48620,"Wichita, KS"
47460,"Walla Walla, WA"
14260,"Boise City, ID"
43300,"Sherman-Denison, TX"
36540,"Omaha-Council Bluffs, NE-IA"
16820,"Charlottesville, VA"
16620,"Charleston, WV"
19340,"Davenport-Moline-Rock Island, IA-IL"
42700,"Sebring, FL"
17200,"Claremont-Lebanon, NH-VT"
45780,"Toledo, OH"
26140,"Homosassa Springs, FL"
13720,"Big Stone Gap, VA"
11900,"Athens, OH"
19140,"Dalton, GA"
21580,"Espa–ola, NM"
35060,"Natchitoches, LA"
29420,"Lake Havasu City-Kingman, AZ"
23500,"Gaffney, SC"
31020,"Longview, WA"
21060,"Elizabethtown-Fort Knox, KY"
40100,"Rio Grande City, TX"
20460,"Durant, OK"
24500,"Great Falls, MT"
29260,"La Grande, OR"
42660,"Seattle-Tacoma-Bellevue, WA"
22380,"Flagstaff, AZ"
40380,"Rochester, NY"
17380,"Cleveland, MS"
29180,"Lafayette, LA"
35380,"New Orleans-Metairie, LA"
44100,"Springfield, IL"
10740,"Albuquerque, NM"
15700,"Cambridge, MD"
46060,"Tucson, AZ"
28780,"Kingsville, TX"
48060,"Watertown-Fort Drum, NY"
19380,"Dayton, OH"
45180,"Talladega-Sylacauga, AL"
41980,"San Juan-Carolina-Caguas, PR"
40220,"Roanoke, VA"
32420,"MayagŸez, PR"
23540,"Gainesville, FL"
28580,"Key West, FL"
21220,"Elko, NV"
15380,"Buffalo-Cheektowaga-Niagara Falls, NY"
19220,"Danville, KY"
31540,"Madison, WI"
14660,"Brainerd, MN"
48980,"Wilson, NC"
21340,"El Paso, TX"
25020,"Guayama, PR"
43900,"Spartanburg, SC"
12300,"Augusta-Waterville, ME"
44920,"Summit Park, UT"
20380,"Dunn, NC"
20020,"Dothan, AL"
28860,"Kirksville, MO"
39780,"Red Bluff, CA"
27380,"Jacksonville, TX"
14860,"Bridgeport-Stamford-Norwalk, CT"
14460,"Boston-Cambridge-Newton, MA-NH"
15540,"Burlington-South Burlington, VT"
40740,"Roswell, NM"
20940,"El Centro, CA"
17740,"Coldwater, MI"
38580,"Point Pleasant, WV-OH"
38420,"Platteville, WI"
42680,"Sebastian-Vero Beach, FL"
20540,"Dyersburg, TN"
23860,"Georgetown, SC"
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
19760,"DeRidder, LA"
36500,"Olympia-Tumwater, WA"
45940,"Trenton, NJ"
24060,"Glenwood Springs, CO"
31340,"Lynchburg, VA"
22580,"Forest City, NC"
28140,"Kansas City, MO-KS"
27140,"Jackson, MS"
26660,"Huntsville, TX"
47180,"Vincennes, IN"
47420,"Wahpeton, ND-MN"
37740,"Payson, AZ"
48300,"Wenatchee, WA"
13740,"Billings, MT"
10700,"Albertville, AL"
41500,"Salinas, CA"
28300,"Keene, NH"
49700,"Yuba City, CA"
24260,"Grand Island, NE"
33540,"Missoula, MT"
30260,"Lewisburg, PA"
30940,"London, KY"
10900,"Allentown-Bethlehem-Easton, PA-NJ"
38780,"Portales, NM"
27980,"Kahului-Wailuku-Lahaina, HI"
36100,"Ocala, FL"
48180,"Waycross, GA"
22860,"Fort Polk South, LA"
44940,"Sumter, SC"
44500,"Stephenville, TX"
24020,"Glens Falls, NY"
44220,"Springfield, OH"
38900,"Portland-Vancouver-Hillsboro, OR-WA"
38860,"Portland-South Portland, ME"
41060,"St. Cloud, MN"
35620,"New York-Newark-Jersey City, NY-NJ-PA"
33860,"Montgomery, AL"
23820,"Gardnerville Ranchos, NV"
43140,"Shelby, NC"
19300,"Daphne-Fairhope-Foley, AL"
35980,"Norwich-New London, CT"
10180,"Abilene, TX"
41820,"Sanford, NC"
37260,"Palatka, FL"
21120,"Elk City, OK"
28620,"Kill Devil Hills, NC"
32540,"McAlester, OK"
49340,"Worcester, MA-CT"
39340,"Provo-Orem, UT"
41420,"Salem, OR"
18580,"Corpus Christi, TX"
45340,"Taos, NM"
15820,"Campbellsville, KY"
41220,"St. Marys, GA"
31080,"Los Angeles-Long Beach-Anaheim, CA"
16980,"Chicago-Naperville-Elgin, IL-IN-WI"
47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
45220,"Tallahassee, FL"
13900,"Bismarck, ND"
37860,"Pensacola-Ferry Pass-Brent, FL"
25760,"Helena-West Helena, AR"
23620,"Gainesville, TX"
32020,"Marion, OH"
28700,"Kingsport-Bristol-Bristol, TN-VA"
39500,"Quincy, IL-MO"
31460,"Madera, CA"
48900,"Wilmington, NC"
24780,"Greenville, NC"
13460,"Bend-Redmond, OR"
39900,"Reno, NV"
17780,"College Station-Bryan, TX"
30780,"Little Rock-North Little Rock-Conway, AR"
41700,"San Antonio-New Braunfels, TX"
45500,"Texarkana, TX-AR"
46540,"Utica-Rome, NY"
39820,"Redding, CA"
12120,"Atmore, AL"
35220,"New Castle, IN"
27020,"Iron Mountain, MI-WI"
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
12060,"Atlanta-Sandy Springs-Roswell, GA"
25200,"Hailey, ID"
28180,"Kapaa, HI"
12700,"Barnstable Town, MA"
26900,"Indianapolis-Carmel-Anderson, IN"
22840,"Fort Payne, AL"
42220,"Santa Rosa, CA"
20180,"DuBois, PA"
25180,"Hagerstown-Martinsburg, MD-WV"
34460,"Mount Sterling, KY"
33700,"Modesto, CA"
35260,"New Castle, PA"
27180,"Jackson, TN"
30820,"Lock Haven, PA"
19700,"Deming, NM"
15460,"Burlington, IA-IL"
47220,"Vineland-Bridgeton, NJ"
34940,"Naples-Immokalee-Marco Island, FL"
47540,"Wapakoneta, OH"
26580,"Huntington-Ashland, WV-KY-OH"
18780,"Craig, CO"
40820,"Ruston, LA"
46140,"Tulsa, OK"
40460,"Rockingham, NC"
45820,"Topeka, KS"
18820,"Crawfordsville, IN"
12420,"Austin-Round Rock, TX"
27860,"Jonesboro, AR"
44620,"Stevens Point, WI"
38340,"Pittsfield, MA"
13780,"Binghamton, NY"
32000,"Marion, NC"
30140,"Lebanon, PA"
33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
47300,"Visalia-Porterville, CA"
46860,"Vernal, UT"
43260,"Sheridan, WY"
12140,"Auburn, IN"
45900,"Traverse City, MI"
30860,"Logan, UT-ID"
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN"
17340,"Clearlake, CA"
29700,"Laredo, TX"
36620,"Ontario, OR-ID"
15580,"Butte-Silver Bow, MT"
12020,"Athens-Clarke County, GA"
42940,"Sevierville, TN"
33220,"Midland, MI"
42140,"Santa Fe, NM"
29820,"Las Vegas-Henderson-Paradise, NV"
39580,"Raleigh, NC"
33100,"Miami-Fort Lauderdale-West Palm Beach, FL"
17900,"Columbia, SC"
17220,"Clarksburg, WV"
35300,"New Haven-Milford, CT"
33660,"Mobile, AL"
40860,"Rutland, VT"
42460,"Scottsboro, AL"
34580,"Mount Vernon-Anacortes, WA"
15180,"Brownsville-Harlingen, TX"
41140,"St. Joseph, MO-KS"
34340,"Mount Airy, NC"
14720,"Breckenridge, CO"
33500,"Minot, ND"
40900,"Sacramento--Roseville--Arden-Arcade, CA"
42200,"Santa Maria-Santa Barbara, CA"
15940,"Canton-Massillon, OH"
31380,"Macomb, IL"
13380,"Bellingham, WA"
21660,"Eugene, OR"
