Areaname,GEOID,area
"Jackson, IA",19097,649.81
"Jasper, IA",19099,732.97
"Jefferson, IA",19101,436.76
"Johnson, IA",19103,623.41
"Jones, IA",19105,576.74
"Keokuk, IA",19107,579.99
"Kossuth, IA",19109,974.46
"Lee, IA",19111,538.8
"Linn, IA",19113,724.62
"Louisa, IA",19115,417.67
"Lucas, IA",19117,434.21
"Lyon, IA",19119,587.68
"Madison, IA",19121,562.33
"Mahaska, IA",19123,573.45
"Marion, IA",19125,570.58
"Marshall, IA",19127,573.07
"Mills, IA",19129,439.7
"Mitchell, IA",19131,469.42
"Monona, IA",19133,698.89
"Monroe, IA",19135,434.14
"Montgomery, IA",19137,424.84
"Muscatine, IA",19139,449.09
"O'Brien, IA",19141,573.3
"Osceola, IA",19143,399.52
"Page, IA",19145,535.38
"Palo Alto, IA",19147,569.45
"Plymouth, IA",19149,864.02
"Pocahontas, IA",19151,579.17
"Polk, IA",19153,591.94
"Pottawattamie, IA",19155,960.01
"Poweshiek, IA",19157,586.22
"Ringgold, IA",19159,538.96
"Sac, IA",19161,578.42
"Scott, IA",19163,468.2
"Shelby, IA",19165,591.4
"Sioux, IA",19167,768.65
"Story, IA",19169,573.73
"Tama, IA",19171,722.42
"Taylor, IA",19173,534.85
"Union, IA",19175,425.98
"Van Buren, IA",19177,490.59
"Wapello, IA",19179,436.02
"Warren, IA",19181,573.24
"Washington, IA",19183,570.81
"Wayne, IA",19185,527.12
"Webster, IA",19187,718.1
"Winnebago, IA",19189,401.59
"Winneshiek, IA",19191,689.93
"Woodbury, IA",19193,877.43
"Worth, IA",19195,401.73
"Wright, IA",19197,582.58
KANSAS,20000,82282
"Allen, KS",20001,505.24
"Anderson, KS",20003,584.35
"Atchison, KS",20005,435.06
"Barber, KS",20007,1136.27
"Barton, KS",20009,900.5
"Bourbon, KS",20011,638.88
"Brown, KS",20013,572.23
"Butler, KS",20015,1446.49
"Chase, KS",20017,778.06
"Chautauqua, KS",20019,644.87
"Cherokee, KS",20021,591.02
"Cheyenne, KS",20023,1020.89
"Clark, KS",20025,977.27
"Clay, KS",20027,655.46
"Cloud, KS",20029,718.51
"Coffey, KS",20031,654.63
"Comanche, KS",20033,789.75
"Cowley, KS",20035,1132.67
"Crawford, KS",20037,595.11
"Decatur, KS",20039,894.23
"Dickinson, KS",20041,852.66
"Doniphan, KS",20043,397.1
"Douglas, KS",20045,474.5
"Edwards, KS",20047,622.13
"Elk, KS",20049,650.41
"Ellis, KS",20051,900.52
"Ellsworth, KS",20053,723.47
"Finney, KS",20055,1302.69
"Ford, KS",20057,1099.35
"Franklin, KS",20059,576.7
"Geary, KS",20061,403.95
"Gove, KS",20063,1071.55
"Graham, KS",20065,898.72
"Grant, KS",20067,575.1
"Gray, KS",20069,869.39
"Greeley, KS",20071,778.05
"Greenwood, KS",20073,1152.66
"Hamilton, KS",20075,997.66
"Harper, KS",20077,803
"Harvey, KS",20079,540.54
"Haskell, KS",20081,577.75
"Hodgeman, KS",20083,860.29
"Jackson, KS",20085,657.9
"Jefferson, KS",20087,556.98
"Jewell, KS",20089,914.51
"Johnson, KS",20091,480.18
"Kearny, KS",20093,871.57
"Kingman, KS",20095,866.75
"Kiowa, KS",20097,722.67
"Labette, KS",20099,653.36
"Lane, KS",20101,717.48
"Leavenworth, KS",20103,468.36
"Lincoln, KS",20105,719.97
"Linn, KS",20107,606.35
"Logan, KS",20109,1073.17
"Lyon, KS",20111,855.21
"McPherson, KS",20113,901.29
"Marion, KS",20115,953.59
"Marshall, KS",20117,904.41
"Meade, KS",20119,979.72
"Miami, KS",20121,590.2
"Mitchell, KS",20123,718.65
"Montgomery, KS",20125,651.45
"Morris, KS",20127,702.9
"Morton, KS",20129,729.99
"Nemaha, KS",20131,719.43
"Neosho, KS",20133,578.09
"Ness, KS",20135,1075.07
"Norton, KS",20137,881.42
"Osage, KS",20139,719.29
"Osborne, KS",20141,894.31
"Ottawa, KS",20143,721.94
"Pawnee, KS",20145,754.6
"Phillips, KS",20147,894.84
"Pottawatomie, KS",20149,862.12
"Pratt, KS",20151,735.79
"Rawlins, KS",20153,1069.79
"Reno, KS",20155,1271.33
"Republic, KS",20157,720.36
"Rice, KS",20159,728.33
"Riley, KS",20161,622.15
"Rooks, KS",20163,895.4
"Rush, KS",20165,718.45
"Russell, KS",20167,899.03
"Saline, KS",20169,721.32
"Scott, KS",20171,717.7
"Sedgwick, KS",20173,1009.48
"Seward, KS",20175,640.55
"Shawnee, KS",20177,556.35
"Sheridan, KS",20179,896.66
"Sherman, KS",20181,1056.08
"Smith, KS",20183,896.56
"Stafford, KS",20185,794.77
"Stanton, KS",20187,680.12
"Stevens, KS",20189,727.78
"Sumner, KS",20191,1184.86
"Thomas, KS",20193,1074.97
"Trego, KS",20195,899.09
"Wabaunsee, KS",20197,799.86
"Wallace, KS",20199,914.12
"Washington, KS",20201,898.88
"Wichita, KS",20203,718.59
"Wilson, KS",20205,575.04
"Woodson, KS",20207,505.5
"Wyandotte, KS",20209,155.7
KENTUCKY,21000,40411.24
"Adair, KY",21001,412.25
"Allen, KY",21003,352.06
"Anderson, KY",21005,204.3
"Ballard, KY",21007,273.62
"Barren, KY",21009,499.95
"Bath, KY",21011,283.96
"Bell, KY",21013,361.36
"Boone, KY",21015,256.98
"Bourbon, KY",21017,291.68
"Boyd, KY",21019,161.83
"Boyle, KY",21021,182.71
"Bracken, KY",21023,208.91
"Breathitt, KY",21025,495.32
"Breckinridge, KY",21027,585.55
"Bullitt, KY",21029,300.21
"Butler, KY",21031,431.54
"Caldwell, KY",21033,348.2
"Calloway, KY",21035,410.81
"Campbell, KY",21037,159.44
"Carlisle, KY",21039,199.03
"Carroll, KY",21041,137.28
"Carter, KY",21043,412.17
"Casey, KY",21045,445.75
"Christian, KY",21047,724.05
"Clark, KY",21049,255.18
"Clay, KY",21051,471.09
"Clinton, KY",21053,205.55
"Crittenden, KY",21055,370.97
"Cumberland, KY",21057,310.87
"Daviess, KY",21059,476.3
"Edmonson, KY",21061,308.03
"Elliott, KY",21063,235.22
"Estill, KY",21065,255.72
"Fayette, KY",21067,285.53
"Fleming, KY",21069,351.49
"Floyd, KY",21071,395.49
"Franklin, KY",21073,212.13
"Fulton, KY",21075,230.56
"Gallatin, KY",21077,104.68
"Garrard, KY",21079,233.89
"Grant, KY",21081,260.75
"Graves, KY",21083,556.5
"Grayson, KY",21085,510.86
"Green, KY",21087,288.8
"Greenup, KY",21089,354.53
"Hancock, KY",21091,198.93
"Hardin, KY",21093,629.89
"Harlan, KY",21095,467.98
"Harrison, KY",21097,309.89
"Hart, KY",21099,417.93
"Henderson, KY",21101,467.26
"Henry, KY",21103,291.13
"Hickman, KY",21105,252.95
"Hopkins, KY",21107,554.25
"Jackson, KY",21109,346.59
"Jefferson, KY",21111,398.6
"Jessamine, KY",21113,174.47
"Johnson, KY",21115,263.96
"Kenton, KY",21117,164.97
"Knott, KY",21119,353.03
"Knox, KY",21121,387.72
"Larue, KY",21123,263.74
"Laurel, KY",21125,443.77
"Lawrence, KY",21127,420.16
"Lee, KY",21129,211.23
"Leslie, KY",21131,404.37
"Letcher, KY",21133,339.13
"Lewis, KY",21135,495.73
"Lincoln, KY",21137,336.77
"Livingston, KY",21139,342.22
"Logan, KY",21141,557.13
"Lyon, KY",21143,256.47
"McCracken, KY",21145,268.1
"McCreary, KY",21147,430.67
"McLean, KY",21149,256.19
"Madison, KY",21151,443.14
"Magoffin, KY",21153,309.46
"Marion, KY",21155,346.89
"Marshall, KY",21157,340.33
"Martin, KY",21159,230.83
"Mason, KY",21161,246.62
"Meade, KY",21163,324.24
"Menifee, KY",21165,206.04
"Mercer, KY",21167,253.13
"Metcalfe, KY",21169,290.98
"Monroe, KY",21171,332.13
"Montgomery, KY",21173,198.82
"Morgan, KY",21175,383.76
"Muhlenberg, KY",21177,479.47
"Nelson, KY",21179,424.1
"Nicholas, KY",21181,196.86
"Ohio, KY",21183,596.75
"Oldham, KY",21185,196.56
"Owen, KY",21187,354.18
"Owsley, KY",21189,198.1
"Pendleton, KY",21191,281.37
"Perry, KY",21193,342.64
"Pike, KY",21195,788.89
"Powell, KY",21197,180.21
"Pulaski, KY",21199,677.09
"Robertson, KY",21201,100.11
"Rockcastle, KY",21203,318.08
"Rowan, KY",21205,286.27
"Russell, KY",21207,282.84
"Scott, KY",21209,285.31
"Shelby, KY",21211,385.67
"Simpson, KY",21213,236.21
"Spencer, KY",21215,191.81
"Taylor, KY",21217,277.06
"Todd, KY",21219,377
"Trigg, KY",21221,481.12
"Trimble, KY",21223,156.24
"Union, KY",21225,363.44
"Warren, KY",21227,547.72
"Washington, KY",21229,301.54
"Wayne, KY",21231,484.22
"Webster, KY",21233,335.7
"Whitley, KY",21235,445.17
"Wolfe, KY",21237,222.88
"Woodford, KY",21239,192
LOUISIANA,22000,51843.47
"Acadia, LA",22001,657.65
"Allen, LA",22003,765.72
"Ascension, LA",22005,302.91
"Assumption, LA",22007,364.59
"Avoyelles, LA",22009,865.74
"Beauregard, LA",22011,1166.06
"Bienville, LA",22013,821.83
"Bossier, LA",22015,867.01
"Caddo, LA",22017,937.01
"Calcasieu, LA",22019,1094.42
"Caldwell, LA",22021,540.77
"Cameron, LA",22023,1931.76
"Catahoula, LA",22025,739.5
"Claiborne, LA",22027,767.52
"Concordia, LA",22029,748.74
"De Soto, LA",22031,894.55
"East Baton Rouge, LA",22033,470.59
"East Carroll, LA",22035,442.49
"East Feliciana, LA",22037,455.72
"Evangeline, LA",22039,679.64
"Franklin, LA",22041,635.48
"Grant, LA",22043,664.6
"Iberia, LA",22045,1030.94
"Iberville, LA",22047,652.88
"Jackson, LA",22049,580.38
"Jefferson, LA",22051,642.42
"Jefferson Davis, LA",22053,658.62
"Lafayette, LA",22055,270.32
"Lafourche, LA",22057,1472.3
"La Salle, LA",22059,662.42
"Lincoln, LA",22061,472.3
"Livingston, LA",22063,702.89
"Madison, LA",22065,650.59
"Morehouse, LA",22067,805.26
"Natchitoches, LA",22069,1299.38
"Orleans, LA",22071,350.23
"Ouachita, LA",22073,632.76
"Plaquemines, LA",22075,2428.73
"Pointe Coupee, LA",22077,590.74
"Rapides, LA",22079,1362.04
"Red River, LA",22081,402.1
"Richland, LA",22083,564.55
"Sabine, LA",22085,1011.59
"St. Bernard, LA",22087,1793.84
"St. Charles, LA",22089,410.18
"St. Helena, LA",22091,409.49
"St. James, LA",22093,257.81
"St. John the Baptist, LA",22095,347.86
"St. Landry, LA",22097,938.88
"St. Martin, LA",22099,816.51
"St. Mary, LA",22101,1118.93
"St. Tammany, LA",22103,1124.13
"Tangipahoa, LA",22105,823.19
"Tensas, LA",22107,641.25
"Terrebonne, LA",22109,2080.08
"Union, LA",22111,905.36
"Vermilion, LA",22113,1538.42
"Vernon, LA",22115,1341.61
"Washington, LA",22117,676.01
"Webster, LA",22119,615.13
"West Baton Rouge, LA",22121,203.64
"West Carroll, LA",22123,360.35
"West Feliciana, LA",22125,426.05
"Winn, LA",22127,956.98
MAINE,23000,35387.33
"Androscoggin, ME",23001,497.25
"Aroostook, ME",23003,6829.18
"Cumberland, ME",23005,1217.01
"Franklin, ME",23007,1744.46
"Hancock, ME",23009,2351.18
"Kennebec, ME",23011,951.24
"Knox, ME",23013,1142.07
"Lincoln, ME",23015,699.97
"Oxford, ME",23017,2175.44
"Penobscot, ME",23019,3556.42
"Piscataquis, ME",23021,4377.71
"Sagadahoc, ME",23023,370.29
"Somerset, ME",23025,4095.73
"Waldo, ME",23027,852.81
"Washington, ME",23029,3255.14
"York, ME",23031,1271.44
MARYLAND,24000,12407.45
"Allegany, MD",24001,429.74
"Anne Arundel, MD",24003,587.91
"Baltimore, MD",24005,682.08
"Calvert, MD",24009,345.11
"Caroline, MD",24011,326.07
"Carroll, MD",24013,452.43
"Cecil, MD",24015,417.89
"Charles, MD",24017,643.27
"Dorchester, MD",24019,982.97
"Frederick, MD",24021,667.4
"Garrett, MD",24023,656.08
"Harford, MD",24025,526.74
"Howard, MD",24027,253.56
"Kent, MD",24029,414.32
"Montgomery, MD",24031,506.22
"Prince George's, MD",24033,499.42
"Queen Anne's, MD",24035,509.82
"St. Mary's, MD",24037,764.54
"Somerset, MD",24039,610.81
"Talbot, MD",24041,476.81
"Washington, MD",24043,467.57
"Wicomico, MD",24045,399.81
"Worcester, MD",24047,694.78
"Baltimore city, MD",24510,92.08
MASSACHUSETTS,25000,10554.79
"Barnstable, MA",25001,1305.52
"Berkshire, MA",25003,946.34
"Bristol, MA",25005,691.26
"Dukes, MA",25007,491
"Essex, MA",25009,828.69
"Franklin, MA",25011,724.81
"Hampden, MA",25013,634.17
"Hampshire, MA",25015,545.47
"Middlesex, MA",25017,847.63
"Nantucket, MA",25019,303.28
"Norfolk, MA",25021,443.97
"Plymouth, MA",25023,1093.48
"Suffolk, MA",25025,120.07
"Worcester, MA",25027,1579.11
MICHIGAN,26000,96810.22
"Alcona, MI",26001,1790.56
"Alger, MI",26003,5044.37
"Allegan, MI",26005,1833.51
"Alpena, MI",26007,1695.05
"Antrim, MI",26009,601.94
"Arenac, MI",26011,680.75
"Baraga, MI",26013,1069.12
"Barry, MI",26015,576.93
"Bay, MI",26017,630.98
"Benzie, MI",26019,859.72
"Berrien, MI",26021,1581.47
"Branch, MI",26023,519.52
"Calhoun, MI",26025,718.49
"Cass, MI",26027,508.51
"Charlevoix, MI",26029,1390.87
"Cheboygan, MI",26031,885.26
"Chippewa, MI",26033,2698
"Clare, MI",26035,575.25
"Clinton, MI",26037,574.6
"Crawford, MI",26039,563.41
"Delta, MI",26041,1991.75
"Dickinson, MI",26043,777.2
"Eaton, MI",26045,579.07
"Emmet, MI",26047,882.33
"Genesee, MI",26049,649.37
"Gladwin, MI",26051,516.46
"Gogebic, MI",26053,1476.54
"Grand Traverse, MI",26055,601.17
"Gratiot, MI",26057,571.64
"Hillsdale, MI",26059,607.18
"Houghton, MI",26061,1501.63
"Huron, MI",26063,2137.25
"Ingham, MI",26065,560.98
"Ionia, MI",26067,580.26
"Iosco, MI",26069,1890.72
"Iron, MI",26071,1211.16
"Isabella, MI",26073,577.78
"Jackson, MI",26075,723.82
"Kalamazoo, MI",26077,580.23
"Kalkaska, MI",26079,570.79
"Kent, MI",26081,872.21
"Keweenaw, MI",26083,6060.49
"Lake, MI",26085,574.64
"Lapeer, MI",26087,663.12
"Leelanau, MI",26089,2533.36
"Lenawee, MI",26091,761.38
"Livingston, MI",26093,585.46
"Luce, MI",26095,1911.9
"Mackinac, MI",26097,2100.59
"Macomb, MI",26099,569.81
"Manistee, MI",26101,1280.9
"Marquette, MI",26103,3426.9
"Mason, MI",26105,1241.98
"Mecosta, MI",26107,571.14
"Menominee, MI",26109,1338.13
"Midland, MI",26111,527.92
"Missaukee, MI",26113,573.85
"Monroe, MI",26115,680.1
"Montcalm, MI",26117,721.02
"Montmorency, MI",26119,562.46
"Muskegon, MI",26121,1459.29
"Newaygo, MI",26123,861.45
"Oakland, MI",26125,908.07
"Oceana, MI",26127,1306.83
"Ogemaw, MI",26129,574.67
"Ontonagon, MI",26131,3741.37
"Osceola, MI",26133,573.15
"Oscoda, MI",26135,571.6
"Otsego, MI",26137,526
"Ottawa, MI",26139,1632.12
"Presque Isle, MI",26141,2573.22
"Roscommon, MI",26143,579.86
"Saginaw, MI",26145,815.82
"St. Clair, MI",26147,832.55
"St. Joseph, MI",26149,521.18
"Sanilac, MI",26151,1590.64
"Schoolcraft, MI",26153,1883.79
"Shiawassee, MI",26155,540.78
"Tuscola, MI",26157,913.83
"Van Buren, MI",26159,1090.28
"Washtenaw, MI",26161,722.59
"Wayne, MI",26163,672.26
"Wexford, MI",26165,575.88
MINNESOTA,27000,86942.71
"Aitkin, MN",27001,1995.39
"Anoka, MN",27003,446.28
"Becker, MN",27005,1445.17
"Beltrami, MN",27007,3055.7
"Benton, MN",27009,413.02
"Big Stone, MN",27011,527.92
"Blue Earth, MN",27013,765.93
"Brown, MN",27015,618.62
"Carlton, MN",27017,875.28
"Carver, MN",27019,376.23
"Cass, MN",27021,2414.31
"Chippewa, MN",27023,587.85
"Chisago, MN",27025,442.53
"Clay, MN",27027,1052.78
"Clearwater, MN",27029,1029.85
"Cook, MN",27031,3339.29
"Cottonwood, MN",27033,648.94
"Crow Wing, MN",27035,1156.62
"Dakota, MN",27037,586.36
"Dodge, MN",27039,439.64
"Douglas, MN",27041,719.97
"Faribault, MN",27043,721.64
"Fillmore, MN",27045,862.19
"Freeborn, MN",27047,722.66
"Goodhue, MN",27049,780.47
"Grant, MN",27051,575.21
"Hennepin, MN",27053,606.43
"Houston, MN",27055,568.95
"Hubbard, MN",27057,999.44
"Isanti, MN",27059,451.9
"Itasca, MN",27061,2927.91
"Jackson, MN",27063,719.51
"Kanabec, MN",27065,533.41
"Kandiyohi, MN",27067,862.01
"Kittson, MN",27069,1103.54
"Koochiching, MN",27071,3154.35
"Lac qui Parle, MN",27073,778.09
"Lake, MN",27075,2991.14
"Lake of the Woods, MN",27077,1775.08
"Le Sueur, MN",27079,473.9
"Lincoln, MN",27081,548.47
"Lyon, MN",27083,721.49
"McLeod, MN",27085,505.7
"Mahnomen, MN",27087,583.02
"Marshall, MN",27089,1812.83
"Martin, MN",27091,729.59
"Meeker, MN",27093,645.11
"Mille Lacs, MN",27095,681.8
"Morrison, MN",27097,1153.37
"Mower, MN",27099,711.74
"Murray, MN",27101,719.56
"Nicollet, MN",27103,466.98
"Nobles, MN",27105,722.36
"Norman, MN",27107,876.85
"Olmsted, MN",27109,654.53
"Otter Tail, MN",27111,2225.03
"Pennington, MN",27113,618.36
"Pine, MN",27115,1434.68
"Pipestone, MN",27117,466.17
"Polk, MN",27119,1997.89
"Pope, MN",27121,717.33
"Ramsey, MN",27123,170.16
"Red Lake, MN",27125,432.52
"Redwood, MN",27127,881.28
"Renville, MN",27129,987.27
"Rice, MN",27131,516.14
"Rock, MN",27133,482.86
"Roseau, MN",27135,1678.48
"St. Louis, MN",27137,6860.53
"Scott, MN",27139,368.57
"Sherburne, MN",27141,451
"Sibley, MN",27143,600.39
"Stearns, MN",27145,1389.99
"Steele, MN",27147,432.18
"Stevens, MN",27149,575.27
"Swift, MN",27151,752.39
"Todd, MN",27153,979.39
"Traverse, MN",27155,586
"Wabasha, MN",27157,549.85
"Wadena, MN",27159,543.02
"Waseca, MN",27161,432.82
"Washington, MN",27163,423.19
"Watonwan, MN",27165,439.93
"Wilkin, MN",27167,751.67
"Winona, MN",27169,641.63
"Wright, MN",27171,714.42
"Yellow Medicine, MN",27173,763.42
MISSISSIPPI,28000,48433.59
"Adams, MS",28001,486.28
"Alcorn, MS",28003,401.38
"Amite, MS",28005,731.7
"Attala, MS",28007,737.15
"Benton, MS",28009,408.67
"Bolivar, MS",28011,905.82
"Calhoun, MS",28013,588
"Carroll, MS",28015,634.59
"Chickasaw, MS",28017,504.3
"Choctaw, MS",28019,419.84
"Claiborne, MS",28021,501.44
"Clarke, MS",28023,693.46
"Clay, MS",28025,416.05
"Coahoma, MS",28027,583.18
"Copiah, MS",28029,779.45
"Covington, MS",28031,414.97
"DeSoto, MS",28033,496.82
"Forrest, MS",28035,470.2
"Franklin, MS",28037,566.78
"George, MS",28039,483.65
"Greene, MS",28041,718.73
"Grenada, MS",28043,449.41
"Hancock, MS",28045,552.56
"Harrison, MS",28047,976.18
"Hinds, MS",28049,877.41
"Holmes, MS",28051,764.24
"Humphreys, MS",28053,431.2
"Issaquena, MS",28055,441.4
"Itawamba, MS",28057,540.46
"Jackson, MS",28059,1043.36
"Jasper, MS",28061,677.49
"Jefferson, MS",28063,527.24
"Jefferson Davis, MS",28065,409.14
"Jones, MS",28067,699.79
"Kemper, MS",28069,767.05
"Lafayette, MS",28071,679.33
"Lamar, MS",28073,500.52
"Lauderdale, MS",28075,715.33
"Lawrence, MS",28077,435.76
"Leake, MS",28079,585.43
"Lee, MS",28081,453.17
"Leflore, MS",28083,606.4
"Lincoln, MS",28085,588.22
"Lowndes, MS",28087,516.48
"Madison, MS",28089,742.03
"Marion, MS",28091,548.61
"Marshall, MS",28093,709.86
"Monroe, MS",28095,772.1
"Montgomery, MS",28097,407.9
"Neshoba, MS",28099,571.69
"Newton, MS",28101,579.62
"Noxubee, MS",28103,700.09
"Oktibbeha, MS",28105,461.94
"Panola, MS",28107,705.19
"Pearl River, MS",28109,818.98
"Perry, MS",28111,650.24
"Pike, MS",28113,410.81
"Pontotoc, MS",28115,501.02
"Prentiss, MS",28117,418.28
"Quitman, MS",28119,406.52
"Rankin, MS",28121,806.16
"Scott, MS",28123,610.43
"Sharkey, MS",28125,434.92
"Simpson, MS",28127,590.57
"Smith, MS",28129,637.32
"Stone, MS",28131,448.09
"Sunflower, MS",28133,707.26
"Tallahatchie, MS",28135,652.13
"Tate, MS",28137,410.98
"Tippah, MS",28139,460
"Tishomingo, MS",28141,444.57
"Tunica, MS",28143,480.82
"Union, MS",28145,416.91
"Walthall, MS",28147,404.47
"Warren, MS",28149,618.82
"Washington, MS",28151,761.31
"Wayne, MS",28153,813.54
"Webster, MS",28155,423.38
"Wilkinson, MS",28157,687.71
"Winston, MS",28159,610.15
"Yalobusha, MS",28161,495.03
"Yazoo, MS",28163,934.2
MISSOURI,29000,69708.81
"Adair, MO",29001,569.35
"Andrew, MO",29003,436.53
"Atchison, MO",29005,547.39
"Audrain, MO",29007,696.83
"Barry, MO",29009,790.96
"Barton, MO",29011,596.78
"Bates, MO",29013,851.45
"Benton, MO",29015,752.55
"Bollinger, MO",29017,621.21
"Boone, MO",29019,691.19
"Buchanan, MO",29021,414.6
"Butler, MO",29023,699.01
"Caldwell, MO",29025,429.75
"Callaway, MO",29027,847.26
"Camden, MO",29029,708.9
"Cape Girardeau, MO",29031,586.33
"Carroll, MO",29033,702.35
"Carter, MO",29035,509.06
"Cass, MO",29037,702.73
"Cedar, MO",29039,498.54
"Chariton, MO",29041,768.3
"Christian, MO",29043,564.09
"Clark, MO",29045,511.93
"Clay, MO",29047,409.16
"Clinton, MO",29049,423.5
"Cole, MO",29051,399.11
"Cooper, MO",29053,570.25
"Crawford, MO",29055,743.82
"Dade, MO",29057,506.34
"Dallas, MO",29059,542.87
"Daviess, MO",29061,569.12
"DeKalb, MO",29063,425.8
"Dent, MO",29065,754.56
"Douglas, MO",29067,814.67
"Dunklin, MO",29069,547.14
"Franklin, MO",29071,929.64
"Gasconade, MO",29073,524.53
"Gentry, MO",29075,491.84
"Greene, MO",29077,677.84
"Grundy, MO",29079,438.01
"Harrison, MO",29081,726.5
"Henry, MO",29083,732.61
"Hickory, MO",29085,411.77
"Holt, MO",29087,469.09
"Howard, MO",29089,470.58
"Howell, MO",29091,928.39
"Iron, MO",29093,552.09
"Jackson, MO",29095,616.16
"Jasper, MO",29097,641.37
"Jefferson, MO",29099,664.12
"Johnson, MO",29101,833.09
"Knox, MO",29103,506.8
"Laclede, MO",29105,768.03
"Lafayette, MO",29107,638.9
"Lawrence, MO",29109,613.42
"Lewis, MO",29111,510.88
"Lincoln, MO",29113,640.44
"Linn, MO",29115,621.5
"Livingston, MO",29117,538.51
"McDonald, MO",29119,539.74
"Macon, MO",29121,812.58
"Madison, MO",29123,497.64
"Maries, MO",29125,530.01
"Marion, MO",29127,444.07
"Mercer, MO",29129,455.21
"Miller, MO",29131,599.98
"Mississippi, MO",29133,428.93
"Moniteau, MO",29135,418.87
"Monroe, MO",29137,670.26
"Montgomery, MO",29139,541.97
"Morgan, MO",29141,613.94
"New Madrid, MO",29143,698.07
"Newton, MO",29145,626.72
"Nodaway, MO",29147,877.81
"Oregon, MO",29149,791.65
"Osage, MO",29151,613.44
"Ozark, MO",29153,755.13
"Pemiscot, MO",29155,512.44
"Perry, MO",29157,484.3
"Pettis, MO",29159,686.38
"Phelps, MO",29161,674.32
"Pike, MO",29163,684.84
"Platte, MO",29165,427.26
"Polk, MO",29167,642.51
"Pulaski, MO",29169,551.44
"Putnam, MO",29171,519.7
"Ralls, MO",29173,483.84
"Randolph, MO",29175,487.69
"Ray, MO",29177,573.62
"Reynolds, MO",29179,814.47
"Ripley, MO",29181,631.71
"St. Charles, MO",29183,593.54
"St. Clair, MO",29185,701.95
"Ste. Genevieve, MO",29186,508.96
"St. Francois, MO",29187,452.43
"St. Louis, MO",29189,523.61
"Saline, MO",29195,764.62
"Schuyler, MO",29197,308.18
"Scotland, MO",29199,439.29
"Scott, MO",29201,426.06
"Shannon, MO",29203,1004.05
"Shelby, MO",29205,502.45
"Stoddard, MO",29207,828.99
"Stone, MO",29209,510.95
"Sullivan, MO",29211,651.48
"Taney, MO",29213,651.53
"Texas, MO",29215,1179.33
"Vernon, MO",29217,837.11
"Warren, MO",29219,437.76
"Washington, MO",29221,762.5
"Wayne, MO",29223,774.13
"Webster, MO",29225,593.74
"Worth, MO",29227,266.77
"Wright, MO",29229,683.24
"St. Louis city, MO",29510,66.15
MONTANA,30000,147046.16
"Beaverhead, MT",30001,5572.35
"Big Horn, MT",30003,5014.72
"Blaine, MT",30005,4238.98
"Broadwater, MT",30007,1238.94
"Carbon, MT",30009,2062.26
"Carter, MT",30011,3348.41
"Cascade, MT",30013,2711.74
"Chouteau, MT",30015,3997.13
"Custer, MT",30017,3793.37
"Daniels, MT",30019,1426.57
"Dawson, MT",30021,2383.23
"Deer Lodge, MT",30023,741.27
"Fallon, MT",30025,1623.06
"Fergus, MT",30027,4350.51
"Flathead, MT",30029,5256.6
"Gallatin, MT",30031,2532.73
"Garfield, MT",30033,4847.66
"Glacier, MT",30035,3037.12
"Golden Valley, MT",30037,1176.42
"Granite, MT",30039,1733.17
"Hill, MT",30041,2916.07
"Jefferson, MT",30043,1658.89
"Judith Basin, MT",30045,1870.75
"Lake, MT",30047,1653.75
"Lewis and Clark, MT",30049,3497.63
"Liberty, MT",30051,1447.18
"Lincoln, MT",30053,3675.22
"McCone, MT",30055,2682.84
"Madison, MT",30057,3602.93
"Meagher, MT",30059,2394.87
"Mineral, MT",30061,1223.43
"Missoula, MT",30063,2618.39
"Musselshell, MT",30065,1870.94
"Park, MT",30067,2666.73
"Petroleum, MT",30069,1674.05
"Phillips, MT",30071,5212.22
"Pondera, MT",30073,1639.83
"Powder River, MT",30075,3298.02
"Powell, MT",30077,2332.71
"Prairie, MT",30079,1742.61
"Ravalli, MT",30081,2400.39
"Richland, MT",30083,2103.08
"Roosevelt, MT",30085,2369.7
"Rosebud, MT",30087,5026.96
"Sanders, MT",30089,2790.18
"Sheridan, MT",30091,1706.38
"Silver Bow, MT",30093,718.99
"Stillwater, MT",30095,1804.71
"Sweet Grass, MT",30097,1862.1
"Teton, MT",30099,2292.57
"Toole, MT",30101,1945.82
"Treasure, MT",30103,984.14
"Valley, MT",30105,5062.08
"Wheatland, MT",30107,1428.37
"Wibaux, MT",30109,890.12
"Yellowstone, MT",30111,2649.11
"Yellowstone National Park, MT",30113,246.12
NEBRASKA,31000,77358.4
"Adams, NE",31001,564.19
"Antelope, NE",31003,858.49
"Arthur, NE",31005,718.36
"Banner, NE",31007,746.43
"Blaine, NE",31009,714.39
"Boone, NE",31011,687.3
"Box Butte, NE",31013,1077.92
"Boyd, NE",31015,544.64
"Brown, NE",31017,1225.15
"Buffalo, NE",31019,975.31
"Burt, NE",31021,497.12
"Butler, NE",31023,584.43
"Cass, NE",31025,566.27
"Cedar, NE",31027,745.86
"Chase, NE",31029,897.67
"Cherry, NE",31031,6009.87
"Cheyenne, NE",31033,1196.55
"Clay, NE",31035,573.56
"Colfax, NE",31037,418.61
"Cuming, NE",31039,574.58
"Custer, NE",31041,2576.21
"Dakota, NE",31043,267.41
"Dawes, NE",31045,1400.9
"Dawson, NE",31047,1019.34
"Deuel, NE",31049,440.83
"Dixon, NE",31051,482.75
