	shopname	meituan_id	dianping_id	address	lat	lon	google_road	google_qu	dianping_road	dianping_qu	meituan_category	dianping_category1	dianping_category2	dianping_price	telephone	problem	reviews	本月销量	本月销售额	本月累计销量	jaccard_entropy	same_cat_ratio	degreeCus	degreeDist	avgCusEntro	numStoreCusVisted	cusEigen	dEigen	fiter_flag	商家评分	Income_entropy	Num_Unique_Customers	popularity
10	小恒水饺(京投港·长阳店)	116927052	73586171.0	房山区长阳镇长政南街1号院1号楼京投港·长阳购物中心4层	39.763317	116.2133			长阳镇	房山区,长阳镇	小吃快餐	饺子	饺子	30.0	010-50875396	1.0	63.0	183.0	4223.97	12806.0	2.3849576515	0.229607250755	1.2271243374	234.876744889	0.550153743427	3.67171717172	0.0273601647593	0.00477735083332	1	5.0	3.87076508099	792	140.799
11	避风港(京投港·长阳店)	113201037	73586200.0	房山区长阳镇长政南街1号院1号楼京投港·长阳购物中心4层	39.763317	116.2133			长阳镇	房山区,长阳镇	粤港菜	茶餐厅	茶餐厅	66.0	010-50875398	1.0	125.0	29.0	2236.475	685.0	2.18897319862	0.018018018018	0.347775744073	234.876744889	0.823438410471	3.875	0.00775406482219	0.00477735083332	1	4.4	2.83889015236	48	33.8859848485
12	小鲸匹萨（通州万达店）	42026401	21165916.0	通州区北苑新华西街58号万达广场3楼3027号铺	39.905422	116.64232			新华大街	通州区,新华大街	西餐	比萨	比萨	58.0	010-50906086	1.0	588.0	1.66666666667	158.173333333	75.0	2.19835869663	0.0421052631579	0.231447619555	959.625422051	0.672371686096	3.51162790698	0.00516039394799	0.0195186088426	1	4.87142857143	2.33559686378	43	2.72712643678
13	唐印烘焙工坊	76116363	57511066.0	通州区万达广场西门金街A3-101	39.90472	116.63954			通州北苑	通州区,通州北苑	甜点饮品	面包甜点	面包甜点	45.0	010-50906212	1.0	488.0	12.0	51.575	127.5	2.25422756669	0.163212435233	2.45003030137	836.72450627	1.16929263573	10.1348314607	0.0546262759749	0.0170188262749	1	4.96393442623	4.06239714694	89	1.14611111111
14	常樂屋湖南常德津市牛肉米粉（通州北苑店）	102794601	69031671.0	通州区万达广场金街A1区2楼204室（吉米造型对面东50米、B区二楼向西过天桥即到A1区2楼）	39.904728	116.63935			通州北苑	通州区,通州北苑	小吃快餐	小吃快餐	小吃快餐,粉面馆	32.0	010-50906233	1.0	6.0	10.25	284.0175	62.0	2.00792264415	0.345679012346	0.600807766293	838.085178999	1.06299541404	8.46153846154	0.0133957081392	0.017046502114	1	4.46666666667	2.56494935746	13	8.875546875
15	饺来饺去（通州万达店）	96129887	66966328.0	通州区新华西街58号院1号楼五层5010（外婆家楼上）	39.905277	116.64173			通州北苑	通州区,通州北苑	小吃快餐	饺子	饺子	43.0	010-50906283	1.0	24.0	12.5	1036.1725	111.5	2.20469505638	0.333333333333	0.363329373445	995.332762053	0.750535398049	4.7037037037	0.00810085108439	0.0202448897292	1	4.71666666667	2.31891656968	27	24.0970348837
16	妈妈米线（大兴龙湖天街店）	99147098	66799818.0	大兴区永大路龙湖天街购物中心三楼19号	39.68643	116.320274			大兴区	大兴区	小吃快餐	粉面馆	粉面馆,小吃快餐	38.0	010-50927321	1.0	1240.0	89.0	3197.776	2765.2	2.37505010476	0.238709677419	0.821425673072	422.452436737	0.682501460967	3.67322834646	0.0183146410414	0.00859260673779	1	5.0	3.95475743013	254	84.152
17	米字旁·韩国街头料理（旧宫店）	93941595	65665327.0	大兴区旧宫镇万科广场五楼（地铁亦庄线旧宫站对面）	39.80595	116.4594			旧宫	大兴区,旧宫	日韩料理	韩国料理	韩国料理	54.0	010-50927329	1.0	699.333333333	98.25	11517.335	4985.25	2.17016267831	0.0990099009901	0.356691089016	552.002049193	0.777955344125	4.21428571429	0.00795284280995	0.0112276226024	1	4.56949475691	2.91074971333	42	213.283981481
18	表妹香港靓点餐厅（住总万科店）	95415958	90000983.0	大兴区旧宫东西大街旧宫地铁对面住总万科广场5层（近卢米埃影城）	39.805637	116.45991			旧宫	大兴区,旧宫	粤港菜	北京菜	北京菜	75.0	010-50927434	1.0	194.333333333	19.25	1942.27	93.25	2.04958209744	0.0	0.387828664116	482.650294483	0.918057764826	4.95454545455	0.00864709127277	0.0098170203595	1	4.57204116638	2.60238077993	22	25.8969333333
19	玛雅铁板烧餐厅（旧宫万科店）	90476679	65356074.0	大兴区旧宫东西大街住总万科广场4层L4001-4002号	39.805634	116.459724			旧宫	大兴区,旧宫	烧烤烤肉	日式烧烤/铁板烧	日式烧烤/铁板烧,烧烤	117.0	010-50927567	1.0	973.4	41.5	1277.095	385.0	2.32212382489	0.0708955223881	0.685677239714	555.542136063	0.59273898208	3.71653543307	0.0152879717877	0.011299627334	1	5.0	2.63097482478	127	10.9153418803
20	欢乐牧场（住总万科广场店）	91350849	65318561.0	大兴区旧宫东西大街旧宫地铁对面住总万科广场5层	39.80595	116.4594			旧宫	大兴区,旧宫	自助餐	自助餐	自助餐	64.0	010-50927576	1.0	1500.0	51.25	3128.1325	3013.0	2.22944291484	0.119791666667	0.549493545643	552.002049193	0.53110280256	2.6509009009	0.01225159789	0.0112276226024	1	4.1502	3.3528971539	444	48.8770703125
21	醉湘（住总万科店）	92931353	65665487.0	大兴区东马路住总万科4层	39.80556	116.45941			旧宫	大兴区,旧宫	川湘菜	湘菜	湘菜	75.0	010-50927588	1.0	521.0	10.3333333333	955.433333333	433.333333333	2.26357005472	0.149606299213	0.340843418152	534.78158764	0.638804057783	3.37142857143	0.00759950055059	0.0108773615053	1	4.95009596929	2.79678820703	70	12.7391111111
22	一味一诚烤全鱼（旧宫万科店）	66729216	27025310.0	大兴区东西大街旧宫地铁对面住总万科广场4层L4003（地铁亦庄线旧宫站）	39.80595	116.4594			旧宫	大兴区,旧宫	川湘菜	烤鱼	烤鱼	83.0	010-50927601	1.0	671.428571429	266.142857143	32770.0628571	15248.0	1.78287939767	0.0869565217391	0.0507251941458	552.002049193	0.732788921705	2.92307692308	0.00113097721801	0.0112276226025	1	4.96872340426	1.94593477576	13	394.820034423
23	汉唐小馆	86552090	65355959.0	大兴区东马路住总万科广场4层	39.80595	116.4594			旧宫	大兴区,旧宫	西北菜	西北菜	西北菜	44.0	010-50927612	1.0	672.0	231.5	5279.8	2019.5	2.29495846077	0.0138888888889	0.913743469626	552.002049193	0.86388244037	4.16379310345	0.0203729737197	0.0112276226025	1	3.8	3.8112504211	232	119.995454545
24	串来串去（荟聚店）	41714779	23075799.0	大兴区西红门荟聚购物中心3层	39.78893	116.32784			西红门	大兴区,西红门	烧烤烤肉	烧烤	烧烤	67.0	010-50931836	1.0	3378.0	302.0	40593.8966667	20846.3333333	2.42430452799	0.0824652777778	1.10365437028	346.684118789	0.681348329559	3.44320420223	0.0246072581953	0.00705149275029	1	4.45156897573	4.15018769914	1523	605.879054727
25	京南第一涮（西红门荟聚店）	40241773	23075602.0	大兴区欣宁街荟聚购物中心三层	39.78811	116.326225			西红门	大兴区,西红门	火锅	火锅	火锅	84.0	010-50931837	1.0	2625.6	108.166666667	20042.925	5346.66666667	2.36001894977	0.226890756303	0.772264963156	353.20443219	0.561918555506	2.95600475624	0.0172185458194	0.00718411475453	1	4.51846435101	3.58014319562	841	238.60625
26	天意小馆（荟聚西红门店）	41427217	21560688.0	大兴区地铁4号线西红门宜家荟聚购物中心三层	39.787888	116.32733			西红门	大兴区,西红门	京菜鲁菜	北京菜	北京菜	74.0	010-50931871	1.0	1955.0	21.5	2000.2075	9580.5	1.3771036528	0.0909090909091	0.167720275006	458.289804613	0.731836819169	3.2	0.00373951865982	0.00932153236797	1	4.63340153453	1.70753917414	15	27.0298310811
27	澳大利亚AUNT LIL'S冻酸奶（荟聚购物中心西红门店）	64443299	32445786.0	大兴区欣宁街15号荟聚购物中心3楼	39.78914	116.32649			西红门	大兴区,西红门	甜点饮品	面包甜点	面包甜点	35.0	010-50954003	1.0	404.0	24.0	659.09	6777.0	2.39538165769	0.153409090909	1.0426733278	314.515482672	0.811716927727	3.96437346437	0.0232476149069	0.00639718846558	1	4.5	4.35529426721	814	18.8311428571
28	blublu潮牛（北京宜家店）	127607173	76677602.0	大兴区西红门荟聚购物中心三层	39.78799	116.32688			西红门	大兴区,西红门	火锅	火锅	火锅	116.0	010-50954095	1.0	33.0	98.5	10130.32	883.0	2.33367837058	0.24427480916	0.277212868328	394.761667372	0.635565174469	3.14285714286	0.00618078341344	0.00802938145908	1	3.5	2.91561343798	70	87.3303448276
29	大咀港式茶餐厅（北京宜家店）	42555897	22875459.0	大兴区荟聚西红门购物中心三层（苏宁电器，金逸影城，InloveKTV）	39.78658	116.32604			西红门	大兴区,西红门	粤港菜	茶餐厅	茶餐厅	83.0	010-50954709	1.0	200.0	4.33333333333	41.3433333333	279.333333333	1.95643275385	0.0149253731343	0.204776916023	358.117504513	0.358527092934	2.84210526316	0.0045657395836	0.00728404576373	1	4.6	1.25932590333	38	0.498112449799
30	爱茜茜里意大利健康冰淇淋（北京宜家店）	40397339	22016053.0	大兴区欣宁大街15号购物中心荟聚，西红门购物中心.3-03-48-R	39.78814	116.32548			西红门	大兴区,西红门	甜点饮品	冰淇淋	冰淇淋	32.0	010-50954773	1.0	2.0	1171.33333333	123011.358333	105003.166667	2.26337624473	0.189189189189	0.194379460591	302.191576807	0.118260724934	1.65497076023	0.00433391621816	0.00614652243227	1	4.3	0.835604069555	1026	3844.10494791
31	PANKOO釜山料理（荟聚购物中心西红门店）	42583438	21593848.0	大兴区欣宁街15号荟聚购物中心3楼（宜家家居旁）	39.787777	116.32728			西红门	大兴区,西红门	日韩料理	烧烤	烧烤,韩国料理	80.0	010-50954829	1.0	344.5	1.75	191.005	121.0	1.97973942973	0.1625	0.186836470139	485.827312004	0.561521960405	2.76	0.0041657364704	0.00988164032564	1	5.0	2.46878666428	50	2.3875625
32	菜麻（鑫瑶印象）串串香	97703535	66502160.0	房山区良乡镇良乡大学城旭辉天地12号院2号楼134号（老3号楼）	39.722496	116.171265			良乡	房山区,良乡	火锅	串串香	串串香	63.0	010-50984008	1.0	64.8	0.333333333333	25.4933333333	31.6666666667	1.79400009783	0.25	0.124018742247	155.560495675	0.473778330079	2.64705882353	0.00276514214387	0.00316407256068	1	4.25740740741	1.39720479752	17	0.404656084656
33	鼎鑫烤动力主题音乐烤吧	98111699	66591623.0	房山区良乡大学城地铁站西行300米	39.722298	116.17204			良乡	房山区,良乡	烧烤烤肉	烧烤	烧烤	69.0	010-50984058	1.0	1542.8	35.1666666667	4563.005	2252.16666667	2.40269290267	0.0843373493976	0.684251960752	147.161351259	0.711291312626	3.6	0.0152561935351	0.0029932354708	1	4.86823956443	3.11597998787	160	66.1305072464
34	善道	97106166	66979340.0	房山区长虹东路大学城旭辉E天地	39.722206	116.17006			良乡	房山区,良乡	川湘菜	湘菜	湘菜	69.0	010-50984093	1.0	100.666666667	6.25	117.675	109.5	1.88358865018	0.0975609756098	0.225784030154	417.783477728	0.802819633895	3.5	0.00503411763318	0.00849764094956	1	4.92251655629	2.70726970978	18	1.70543478261
35	虾吃虾涮（良乡大学城店）	104647074	68215286.0	房山区书院南街12号院3号楼208（地铁良乡大学城站向西200米路口向南30米西侧）	39.722683	116.172035			良乡	房山区,良乡	火锅	火锅	火锅	63.0	010-50984433	1.0	636.0	158.25	20425.2325	979.0	2.16651545404	0.280276816609	0.440583265617	149.593967924	0.356137670795	2.23774509804	0.00982331648882	0.00304271445715	1	4.97547169811	2.60763557218	408	324.210039683
36	升旗餐厅	316533	4197994.0	东城区前门东大街甲2号	39.899452	116.40012			前门	东城区,西城区,前门	京菜鲁菜	北京菜	北京菜	49.0	010-51015188	1.0	5996.0	1.5	290.1975	148.25	1.75466015626	0.153846153846	0.0701379762768	637.095411873	0.26621637315	1.72727272727	0.00156380778078	0.0129584063261	1	4.55583722482	1.13030227279	44	5.92239795918
37	相福四季涮肉	313794	3438361.0	大兴区亦庄天华西路天华园二里三区5号楼(近东晶国际)	39.80011	116.49277			亦庄	大兴区,亦庄	火锅	涮羊肉	涮羊肉	81.0	010-51061359	1.0	899.2	57.3333333333	9050.58333333	913.166666667	2.20933308693	0.23137254902	0.506554662382	173.4228727	0.508342922391	2.95263157895	0.0112942255319	0.00352739010327	1	4.85480427046	3.09946246052	190	111.735596708
38	丁丁洋回转自助火锅（西红门店）	42122770	21610201.0	大兴区宏福路与新旺大街交叉口东北角鸿坤广场中心地下一层，永辉超市入口旁	39.79134	116.339836			西红门	大兴区,西红门	火锅	自助餐	自助餐,火锅,小火锅	40.0	010-51078051	1.0	3422.66666667	1064.5	43054.665	45747.75	1.95599879579	0.218181818182	0.154477666467	266.00904611	0.538699167616	3.02631578947	0.00344425929577	0.00541057625226	1	3.97543825477	2.52090268642	38	1076.366625
39	巴黎贝甜（鸿坤广场店）	68603230	24617753.0	大兴区宏福路鸿坤广场1层F24A25	39.79134	116.339836			西红门	大兴区,西红门	甜点饮品	甜品饮品	甜品饮品	53.0	010-51078912	1.0	838.666666667	22.0	1342.1525	498.25	2.22115640668	0.213675213675	0.27611669386	266.00904611	0.800444530651	4.26	0.00615634292835	0.00541057625226	1	4.71383147854	2.90552673454	50	25.3236320755
40	爱江山（双子座店）	368566	4526251.0	朝阳区建国门外大街乙12号双子座大厦东塔5楼	39.907654	116.449196			建外大街	朝阳区,建外大街,国贸	日韩料理	韩国料理	韩国料理,烧烤	178.0	010-51096036	1.0	609.0	19.5	4873.445	517.0	2.34973461007	0.162790697674	0.317251135293	481.410966822	0.635195657777	3.22972972973	0.00707348315661	0.00979181265732	1	3.8	2.92824803708	74	27.3789044944
41	好伦哥（六里桥餐厅）	1046180	2007472.0	丰台区六里桥亿客隆商城二层	39.879856	116.31224			六里桥/丽泽桥	丰台区,六里桥/丽泽桥	自助餐	自助餐	自助餐	51.0	010-51120552	1.0	10244.3333333	7027.25	495909.935	501722.5	2.44649247063	0.0397333333333	1.53416913431	360.476638211	0.538651311437	2.84192979015	0.0342060857272	0.00733203011972	1	3.79022223668	3.76121500679	20396	9723.72421569
42	蝎梁府（天竺镇店）	1661734	6235134.0	顺义区小天竺路国都大酒店西侧	40.048756	116.58903			首都机场	朝阳区,顺义区,首都机场	其他美食	其他	美食	74.0	010-51143117	1.0	184.0	1.0	139.825	135.0	1.99734334306	0.0	0.379689074127	100.581071724	0.805063057583	3.96551724138	0.00846560964423	0.0020458009457	1	5.0	2.36214283954	29	1.88952702703
43	百度烤肉（方庄南路店）	1471682	5499810.0	丰台区南三环方庄南路(成仪路口)	39.848495	116.439285			方庄	丰台区,方庄	烧烤烤肉	烧烤	烧烤	75.0	010-51146682	1.0	305.0	67.0	6164.0	1534.0	2.33079380688	0.11877394636	0.324833468347	310.617698607	0.563881695304	2.77678571429	0.00724254009345	0.0063179082373	1	4.3	3.22815308411	224	82.1866666667
44	味多美(鲁谷大街店)	6608938	17163080.0	石景山区黄庄村43号莲石路北区苗圃（玉泉路农副产皮交易市场四十号）	39.89813	116.24344			五棵松	海淀区,五棵松	甜点饮品	面包甜点	面包甜点	95.0	010-51170030	1.0	143.5	1660.0	294282.998	65211.0	2.25537420668	0.112412177986	0.59553991187	379.434343623	0.623354903758	3.30196078431	0.0132782551962	0.00771762644511	1	5.0	3.2205148905	255	3097.71576842
45	七星蒸尚游蒸汽海鲜餐厅	134715644	76848029.0	石景山区雕塑园南街玉鲁商厦西7号商铺	39.89756	116.24378			鲁谷	石景山区,鲁谷	海鲜	海鲜	海鲜	95.0	010-51170096	1.0	88.0	0.5	185.1	36.0	1.9177171894	0.0	0.0800557640823	347.936492817	0.451712464501	2.33333333333	0.00178493639842	0.00707696581323	1	4.9	1.66697432692	30	1.94842105263
46	阿田大虾火锅（鲁谷旗舰店）	5166497	15103232.0	石景山区雕塑园南街玉鲁商厦底商（近莲石路）	39.897808	116.24366			鲁谷	石景山区,鲁谷	火锅	火锅	火锅	71.0	010-51170177	1.0	17661.3333333	249.25	23004.965	16043.75	2.39791807347	0.222826086957	1.01770673134	444.104688307	0.537925729544	2.84380378657	0.0226909555922	0.00903300964838	1	4.74369621018	3.50513892429	2324	324.013591549
47	菇芳源香菇鸡（幸福大街店）	42646800	23672367.0	东城区幸福大街39-3（7天优品酒店隔壁）	39.889202	116.43039			天坛	东城区,天坛	小吃快餐	快餐简餐	快餐简餐	16.0	010-51205505	1.0	376.666666667	56.0	1151.17714286	2245.71428571	2.24146048565	0.225	0.382238441299	486.533342905	0.523377108335	2.74834437086	0.00852245075133	0.00989600086744	1	4.48	2.93414442343	151	71.9485714288
48	张老坎火锅（马家堡旗舰店）	113867186	70442910.0	丰台区西马场路6号院1号楼1单元商业1（角门东地铁站南（永辉超市斜对面））	39.84188	116.38488			大红门	丰台区,大红门	火锅	火锅	火锅	87.0	010-51223598	1.0	40.0	4.5	422.955	233.0	2.03366054814	0.244444444444	0.289642023579	353.598751958	0.7703764795	4.42424242424	0.00645790589005	0.00719213514785	1	3.6	2.6972091372	33	4.86155172414
49	朴家饭	1658586	5125351.0	大兴区亦庄经济技术开发区荣华中路7号国融国际底商	39.80117	116.50132			亦庄	大兴区,亦庄	日韩料理	韩国料理	韩国料理	48.0	010-51241084	1.0	1776.66666667	5.5	376.5	632.25	2.36396538255	0.0913043478261	0.453488975405	219.725022797	0.622639665511	3.01570680628	0.0101110643033	0.00446916752552	1	4.88360225141	2.92745167236	191	7.84375
50	品味快乐蛋糕（裕龙店）	5251111	23214382.0	顺义区裕龙一街裕龙四区33号楼	40.123306	116.66967			顺义	顺义区,顺义	甜点饮品	甜品饮品	甜品饮品	12.0	010-51241548	0.0	54.8571428571	1.875	264.92125	61.75	1.8189416077	0.196078431373	0.291514630747	162.589218243	1.02639307588	5.5	0.00649965784547	0.00330703551612	1	3.875	2.24297322644	14	22.0767708333
51	稻香村（裕龙店）	40313659	23214382.0	顺义区拥军路御龙四区33号楼底商	40.123306	116.66967			顺义	顺义区,顺义	甜点饮品	甜品饮品	甜品饮品	12.0	010-51241548	0.0	124.0	6.25	449.375	238.0	2.03399203458	0.114754098361	0.234310497127	162.589218243	0.787536235256	3.82142857143	0.00522422513416	0.00330703551612	1	4.7752688172	2.22245306403	28	37.4479166667
52	|蜀香石锅鱼|香辣大虾（苏家坨店）	6681869	10658859.0	海淀区苏家坨镇温阳路与北清路交叉口北拐进辅路200米（西小营南站）	40.072414	116.16096			海淀区	海淀区	火锅	鱼火锅	鱼火锅	51.0	010-51243393	1.0	2574.0	19.6666666667	1888.81666667	613.666666667	2.31600918028	0.225641025641	0.271291571362	4.54093284375	0.437249749208	2.45029239766	0.00604876120865	9.23617589957e-05	1	5.0	2.50832827391	171	37.0356209151
53	丽江龙记斑鱼庄（虎坊桥店）	52532149	24751701.0	西城区南横东街1-26号	39.883488	116.383675			虎坊桥	西城区,虎坊桥	火锅	鱼火锅	鱼火锅	120.0	010-51255563	1.0	792.0	47.0	9476.1525	1366.5	2.37316417843	0.219696969697	0.50709632665	499.831202202	0.642235905261	3.32911392405	0.011306302567	0.0101664769387	1	4.88484848485	3.34363026544	158	78.9679375
54	甜风集烘焙生活馆	4663734	93162987.0	丰台区西局西路58号院53号	39.869	116.43431			方庄	丰台区,方庄	甜点饮品	面包甜点	面包甜点		010-51281258	1.0	246.0	10.0	1335.86666667	260.666666667	2.2887234879	0.148648648649	0.199580409759	413.586264606	0.552326439438	2.95	0.00444987743074	0.00841227038801	1	4.7	2.15635595831	40	
55	花家怡园（四合院总店）	2424803	507755.0	东城区东直门内大街235号	39.94119	116.41897			北新桥/簋街	东城区,北新桥/簋街	京菜鲁菜	北京菜	北京菜	158.0	010-51283315	1.0	2240.8	1.2	87.392	29.8	1.90682810175	0.0967741935484	0.0793178922001	764.744076961	0.407733078848	2.29166666667	0.00176848468636	0.0155547572625	1	4.91119243127	1.63860372141	24	0.553113924051
56	花家怡园（东直门店）	262542	58730128.0	东城区东直门内大街5号（东直门桥往西150米路北）	39.94146	116.42919			东直门	东城区,东直门	京菜鲁菜	北京菜	北京菜	142.0	010-51283316	1.0	1520.8	13.5	3420.58166667	125.833333333	2.32621502857	0.0765027322404	0.323106467552	689.900685715	0.527518655177	2.78512396694	0.00720403460151	0.0140324561181	1	4.71988427144	2.70825215271	121	24.0886032864
57	花家怡园（八爷府王府井店）	1644313	5433994.0	东城区王府井东街8号澳门中心商场3楼（澳门中心里）	39.914806	116.41305			王府井/东单	东城区,王府井/东单	其他美食	北京菜	北京菜	193.0	010-51283326	1.0	1495.0	34.6666666667	12940.485	622.666666667	2.3757780988	0.0592885375494	0.403947788391	833.760938909	0.487985828841	2.44711538462	0.00900648590174	0.0169585478467	1	4.87357859532	2.46518501963	208	67.0491450777
58	花家怡园（世茂店）	541827	2655271.0	朝阳区建国路甲92号世茂大厦B座3楼301室（大望路西南侧）	39.907715	116.47121			国贸	朝阳区,国贸	京菜鲁菜	北京菜	北京菜	140.0	010-51283329	1.0	845.0	0.0	387.265	27.0	1.64702845285	0.0416666666667	0.0668635521762	403.611894754	0.745710065285	2.78571428571	0.00149080068594	0.00820939349552	1	4.2	2.24297322644	14	2.76617857143
59	面面聚道	5247746	9024926.0	东城区夕照寺中街29号北京黄河京都大酒店2层	39.88944	116.43699			广渠门	东城区,广渠门	其他美食	山西菜	山西菜	85.0	010-51335588	1.0	23.0	11.5	929.37	613.0	2.08636994364	0.0208333333333	0.0972598286761	459.896849948	0.543486384351	3.08333333333	0.00216852103403	0.00935421938165	1	5.0	1.78870626172	24	10.9337647059
60	伯牛记	90240612	57499944.0	丰台区珠江骏景北区底商2号楼101	39.85541	116.39683			洋桥/木樨园	丰台区,洋桥/木樨园	烧烤烤肉	烧烤	烧烤	89.0	010-51363656	1.0	44.0	1.0	90.0	160.0	1.97120451384	0.0757575757576	0.233741383797	431.335533845	1.3080996052	7.5	0.00521153609036	0.00877328733855	1	3.9	2.36938211969	12	1.01123595506
61	果麦De鲜饮创作（万寿路店）	1539714	5861902.0	海淀区复兴路51号凯德晶品购物中心B1-42	39.90812	116.29717			公主坟/万寿路	海淀区,公主坟/万寿路,五棵松	甜点饮品	甜品饮品	甜品饮品	12.0	010-51452008	1.0	951.5	1023.6	8542.954	21866.2	2.33001675316	0.161094224924	1.08115997746	748.232410112	0.868383777823	5.02686567164	0.0241057195369	0.0152189129224	1	5.0	4.18559746883	335	711.912833333
62	吃货锅物料理	6533060	21024073.0	海淀区交大东路46号	39.950287	116.34882			北下关	海淀区,北下关	火锅	韩国料理	韩国料理,火锅	49.0	010-51562910	0.0	8954.66666667	94.5	7914.4525	3052.75	2.33893785796	0.201117318436	0.693937109975	534.905649714	0.491160164299	2.63177998472	0.0154721352049	0.0108798849057	1	5.0	3.1921144708	1309	161.519438776
63	吃货爽爆的四川盐帮兔火锅	40717074	21024073.0	海淀区交大东路与交通大学路交口东南江边城外烤鱼东20米	39.950287	116.34882			北下关	海淀区,北下关	日韩料理	韩国料理	韩国料理,火锅	49.0	010-51562910	0.0		16.0	1248.0	159.0	2.24392827481	0.0754716981132	0.0787828997745	534.905649714	0.649384071583	3.05263157895	0.00175655640781	0.0108798849057	1	5.0	1.98792210201	38	25.4693877551
