,shopname,meituan_id,dianping_id,address,lat,lon,google_road,google_qu,dianping_road,dianping_qu,meituan_category,dianping_category1,dianping_category2,dianping_price,telephone,problem,review_counts,sales_volume,sales_revenue,cum_sales_volume,rating
10,猫猫咪呀港式甜品,42042574,,"昌平区东关二条石油大学阳光学生公寓2楼底商（阳光麦当劳胡同里400米,从再东兴化妆品店上二楼）",40.2233526,116.2429921,Dongguan 2nd Alley,Changping,,,甜点饮品,,,,,,72,0,6.06666666667,49,3.8
11,周渔府重庆火锅（新城路店）,40809691,,新城路39号（路灯管理所对面）,23.9863947,121.5954748,"Lane 39, Zili Road",Ji’an Township,,,火锅,,,,,,0,0,0,25,3.1
12,贰拾叁號麻辣小海鲜,51582554,,昌平区南郝庄路槐树巷南口青天华联超市北50米,40.2146704,116.2118415,Nan Hao Zhuang Lu,Changping Qu,,,海鲜,,,,,,4,0,0,0,0
13,格林城堡,99073326,,昌平区南北庄路南郝庄2号口底商2号店,40.220884,116.210535,Nanbeizhuang Road,Changping Qu,,,甜点饮品,,,,,,66,8.5,622.35,55.5,3.6
14,田园草莓采摘园,95636557,,昌平区秦北路小汤山土沟村（秦北路未来科技城绿地中央广场马路对面直行500米左手边，华都肉鸡公司公交车站）,40.137845,116.467953,Qinbei Road,Changping,,,农家乐,,,,,,0,0,0,1,3.5
15,明轩草莓采摘园（明轩草莓采摘园）,41097431,,昌平区兴寿镇东营村东营草莓园171.199.200.157.158.159.61大棚（昌金路麦庄桥西500米路南）,40.221755,116.412727,Xingshouzhen,Changping,,,农家乐,,,,,,678,0,0,542,3.6
16,绿谷田园采摘基地（平谷大桃采摘）,83535505,,平谷区刘家店镇辛庄子村,40.254320655,117.018792743,Xinzhuangzicun,Pinggu,,,农家乐,,,,,,0,0,0,2,
17,幽谷人家樱桃采摘园,5103172,,顺义区龙湾屯镇山里辛庄村，杜数义樱桃采摘园（近焦庄户地道战遗址纪念馆 安利隆生态山庄）,40.200761,116.915439,,顺义区,,,农家乐,,,,,,6,0,0,10,4
18,香草香草云南原生态火锅（房山长阳店）,108999515,67852758,房山区长阳镇长兴街11号院1号楼103室（首创奥特莱斯对面，合景领峰底商08-1）,39.769188,116.186035,,,良乡,"房山区,良乡",火锅,火锅,火锅,109,010-50824050,1,12,11,1002.1925,674,4.56666666667
19,膳宜坊（长阳京投港店）,122462769,76729698,房山区长政南街1号院1号楼2层（长阳地铁B出口）,39.76326,116.21326,,,长阳镇,"房山区,长阳镇",其他美食,湘菜,湘菜,76,010-50875208,1,7,18,178.27,88,4.6
20,乌巢比萨主义主题餐厅(京投港·长阳店),152579891,79561244,房山区长阳镇长政南街1号院1号楼京投港·长阳购物中心2层,39.763317,116.2133,,,长阳镇,"房山区,长阳镇",西餐,比萨,比萨,84,010-50875230,1,0,158,15028.965,11113,4
21,唇辣号重庆老火锅(京投港·长阳店),114613494,75186385,房山区长阳镇长政南街1号院1号楼京投港·长阳购物中心5层,39.763317,116.2133,,,长阳镇,"房山区,长阳镇",火锅,重庆火锅,重庆火锅,87,010-50875260,1,2.5,312.5,28083.8875,31700,4.1
22,骨之恋（京投港·长阳店）,111714561,73586286,房山区长阳镇长政南街1号院1号楼京投港·长阳购物中心4层,39.76328,116.21329,,,长阳镇,"房山区,长阳镇",火锅,火锅,火锅,62,010-50875385,1,7,2.5,232.645,47,4.8
23,小恒水饺(京投港·长阳店),116927052,73586171,房山区长阳镇长政南街1号院1号楼京投港·长阳购物中心4层,39.763317,116.2133,,,长阳镇,"房山区,长阳镇",小吃快餐,饺子,饺子,30,010-50875396,1,63,183,4223.97,12806,5
24,避风港(京投港·长阳店),113201037,73586200,房山区长阳镇长政南街1号院1号楼京投港·长阳购物中心4层,39.763317,116.2133,,,长阳镇,"房山区,长阳镇",粤港菜,茶餐厅,茶餐厅,66,010-50875398,1,125,29,2236.475,685,4.4
25,丰和日丽（通州万达店）,41393639,20885480,通州区新华西街58号1号楼4026B商铺,39.905506,116.64026,,,新华大街,"通州区,新华大街",江浙菜,浙江菜,浙江菜,107,010-50906077,1,555.333333333,160.75,14141.3375,9635,4.77647058824
26,小鲸匹萨（通州万达店）,42026401,21165916,通州区北苑新华西街58号万达广场3楼3027号铺,39.905422,116.64232,,,新华大街,"通州区,新华大街",西餐,比萨,比萨,58,010-50906086,1,588,1.66666666667,158.173333333,75,4.87142857143
27,爬爬步步手工糖果（万达店）,42441454,21213676,通州区新华西街58号1号楼1楼1032室商铺,39.9059,116.64154,,,新华大街,"通州区,新华大街",甜点饮品,面包甜点,面包甜点,58,010-50906177,1,0,0,0,4,3.5
28,唐印烘焙工坊,76116363,57511066,通州区万达广场西门金街A3-101,39.90472,116.63954,,,通州北苑,"通州区,通州北苑",甜点饮品,面包甜点,面包甜点,45,010-50906212,1,488,12,51.575,127.5,4.96393442623
29,常樂屋湖南常德津市牛肉米粉（通州北苑店）,102794601,69031671,通州区万达广场金街A1区2楼204室（吉米造型对面东50米、B区二楼向西过天桥即到A1区2楼）,39.904728,116.63935,,,通州北苑,"通州区,通州北苑",小吃快餐,小吃快餐,"小吃快餐,粉面馆",32,010-50906233,1,6,10.25,284.0175,62,4.46666666667
30,饺来饺去（通州万达店）,96129887,66966328,通州区新华西街58号院1号楼五层5010（外婆家楼上）,39.905277,116.64173,,,通州北苑,"通州区,通州北苑",小吃快餐,饺子,饺子,43,010-50906283,1,24,12.5,1036.1725,111.5,4.71666666667
31,重庆暗号,52646966,24736578,房山区祥云街6号院2号楼111室,39.758614,116.20673,,,长阳镇,"房山区,长阳镇",川湘菜,川菜/家常菜,川菜/家常菜,24,010-50924788,1,167.5,3.66666666667,212.333333333,69.6666666667,4.55671641791
32,串来串去（龙湖大兴天街店）,95120649,66969399,大兴区永兴路七号院龙湖大兴天街购物中心4层大兴区购物中4层,39.68633,116.320274,,,黄村,"大兴区,黄村",烧烤烤肉,烧烤,烧烤,57,010-50927135,1,,1394,123562,13944,4.6
33,妈妈米线（大兴龙湖天街店）,99147098,66799818,大兴区永大路龙湖天街购物中心三楼19号,39.68643,116.320274,,,大兴区,大兴区,小吃快餐,粉面馆,"粉面馆,小吃快餐",38,010-50927321,1,1240,89,3197.776,2765.2,5
34,米字旁·韩国街头料理（旧宫店）,93941595,65665327,大兴区旧宫镇万科广场五楼（地铁亦庄线旧宫站对面）,39.80595,116.4594,,,旧宫,"大兴区,旧宫",日韩料理,韩国料理,韩国料理,54,010-50927329,1,699.333333333,98.25,11517.335,4985.25,4.56949475691
35,表妹香港靓点餐厅（住总万科店）,95415958,90000983,大兴区旧宫东西大街旧宫地铁对面住总万科广场5层（近卢米埃影城）,39.805637,116.45991,,,旧宫,"大兴区,旧宫",粤港菜,北京菜,北京菜,75,010-50927434,1,194.333333333,19.25,1942.27,93.25,4.57204116638
36,玛雅铁板烧餐厅（旧宫万科店）,90476679,65356074,大兴区旧宫东西大街住总万科广场4层L4001-4002号,39.805634,116.459724,,,旧宫,"大兴区,旧宫",烧烤烤肉,日式烧烤/铁板烧,"日式烧烤/铁板烧,烧烤",117,010-50927567,1,973.4,41.5,1277.095,385,5
37,欢乐牧场（住总万科广场店）,91350849,65318561,大兴区旧宫东西大街旧宫地铁对面住总万科广场5层,39.80595,116.4594,,,旧宫,"大兴区,旧宫",自助餐,自助餐,自助餐,64,010-50927576,1,1500,51.25,3128.1325,3013,4.1502
38,醉湘（住总万科店）,92931353,65665487,大兴区东马路住总万科4层,39.80556,116.45941,,,旧宫,"大兴区,旧宫",川湘菜,湘菜,湘菜,75,010-50927588,1,521,10.3333333333,955.433333333,433.333333333,4.95009596929
39,一味一诚烤全鱼（旧宫万科店）,66729216,27025310,大兴区东西大街旧宫地铁对面住总万科广场4层L4003（地铁亦庄线旧宫站）,39.80595,116.4594,,,旧宫,"大兴区,旧宫",川湘菜,烤鱼,烤鱼,83,010-50927601,1,671.428571429,266.142857143,32770.0628571,15248,4.96872340426
40,PIZZA SEMOLA,97795818,65354996,大兴区东马路旧宫万科广场5层L5002,39.80595,116.4594,,,旧宫,"大兴区,旧宫",西餐,比萨,比萨,95,010-50927609,1,9.66666666667,1.25,95.8525,28,4.6724137931
41,汉唐小馆,86552090,65355959,大兴区东马路住总万科广场4层,39.80595,116.4594,,,旧宫,"大兴区,旧宫",西北菜,西北菜,西北菜,44,010-50927612,1,672,231.5,5279.8,2019.5,3.8
42,串来串去（荟聚店）,41714779,23075799,大兴区西红门荟聚购物中心3层,39.78893,116.32784,,,西红门,"大兴区,西红门",烧烤烤肉,烧烤,烧烤,67,010-50931836,1,3378,302,40593.8966667,20846.3333333,4.45156897573
43,京南第一涮（西红门荟聚店）,40241773,23075602,大兴区欣宁街荟聚购物中心三层,39.78811,116.326225,,,西红门,"大兴区,西红门",火锅,火锅,火锅,84,010-50931837,1,2625.6,108.166666667,20042.925,5346.66666667,4.51846435101
44,达坂城（荟聚西红门店）,40285181,48199160,大兴区欣雅街荟聚西红门购物中心三层,39.787315,116.325424,,,西红门,"大兴区,西红门",新疆菜,新疆菜,新疆菜,75,010-50931870,1,410,1,75.015,57,4.5
45,天意小馆（荟聚西红门店）,41427217,21560688,大兴区地铁4号线西红门宜家荟聚购物中心三层,39.787888,116.32733,,,西红门,"大兴区,西红门",京菜鲁菜,北京菜,北京菜,74,010-50931871,1,1955,21.5,2000.2075,9580.5,4.63340153453
46,澳大利亚AUNT LIL'S冻酸奶（荟聚购物中心西红门店）,64443299,32445786,大兴区欣宁街15号荟聚购物中心3楼,39.78914,116.32649,,,西红门,"大兴区,西红门",甜点饮品,面包甜点,面包甜点,35,010-50954003,1,404,24,659.09,6777,4.5
47,blublu潮牛（北京宜家店）,127607173,76677602,大兴区西红门荟聚购物中心三层,39.78799,116.32688,,,西红门,"大兴区,西红门",火锅,火锅,火锅,116,010-50954095,1,33,98.5,10130.32,883,3.5
48,汉拿山（荟聚西红门店）,40908635,21593854,大兴区欣宁街15号荟聚西红门购物中心3楼（近苏宁）,39.787235,116.32648,,,西红门,"大兴区,西红门",日韩料理,烧烤,烧烤,95,010-50954708,1,1439,589,52961.45,8844.5,4.77574704656
49,大咀港式茶餐厅（北京宜家店）,42555897,22875459,大兴区荟聚西红门购物中心三层（苏宁电器，金逸影城，InloveKTV）,39.78658,116.32604,,,西红门,"大兴区,西红门",粤港菜,茶餐厅,茶餐厅,83,010-50954709,1,200,4.33333333333,41.3433333333,279.333333333,4.6
50,一麻一辣（西红门宜家店）,41549488,21593768,大兴区宏福路与欣宁街交叉口西红门宜家购物中心6-03-10-R（宜家西红门店）,39.78754,116.3272,,,西红门,"大兴区,西红门",川湘菜,川菜/家常菜,川菜/家常菜,82,010-50954738,1,608,90.5,8326,3394.5,4.3
51,爱茜茜里意大利健康冰淇淋（北京宜家店）,40397339,22016053,大兴区欣宁大街15号购物中心荟聚，西红门购物中心.3-03-48-R,39.78814,116.32548,,,西红门,"大兴区,西红门",甜点饮品,冰淇淋,冰淇淋,32,010-50954773,1,2,1171.33333333,123011.358333,105003.166667,4.3
52,苗乡楼贵州味道（荟聚西红门店）,40780908,21562870,大兴区宏福西路临1号荟聚西红门购物中心3层,39.78712,116.32565,,,西红门,"大兴区,西红门",云贵菜,贵州菜,贵州菜,114,010-50954820,1,643.428571429,10,950.58,586.142857143,4.69991119005
53,PANKOO釜山料理（荟聚购物中心西红门店）,42583438,21593848,大兴区欣宁街15号荟聚购物中心3楼（宜家家居旁）,39.787777,116.32728,,,西红门,"大兴区,西红门",日韩料理,烧烤,"烧烤,韩国料理",80,010-50954829,1,344.5,1.75,191.005,121,5
54,将太无二（回龙观餐厅）,78815790,45306972,昌平区回龙观西大街111号华联商厦三层,40.07605,116.31908,,,回龙观,"昌平区,回龙观",日韩料理,日本料理,日本料理,147,010-50954925,1,807.6,17.4,2132.7,62456,4.93655274889
55,菜麻（鑫瑶印象）串串香,97703535,66502160,房山区良乡镇良乡大学城旭辉天地12号院2号楼134号（老3号楼）,39.722496,116.171265,,,良乡,"房山区,良乡",火锅,串串香,串串香,63,010-50984008,1,64.8,0.333333333333,25.4933333333,31.6666666667,4.25740740741
56,鼎鑫烤动力主题音乐烤吧,98111699,66591623,房山区良乡大学城地铁站西行300米,39.722298,116.17204,,,良乡,"房山区,良乡",烧烤烤肉,烧烤,烧烤,69,010-50984058,1,1542.8,35.1666666667,4563.005,2252.16666667,4.86823956443
57,善道,97106166,66979340,房山区长虹东路大学城旭辉E天地,39.722206,116.17006,,,良乡,"房山区,良乡",川湘菜,湘菜,湘菜,69,010-50984093,1,100.666666667,6.25,117.675,109.5,4.92251655629
58,虾吃虾涮（良乡大学城店）,104647074,68215286,房山区书院南街12号院3号楼208（地铁良乡大学城站向西200米路口向南30米西侧）,39.722683,116.172035,,,良乡,"房山区,良乡",火锅,火锅,火锅,63,010-50984433,1,636,158.25,20425.2325,979,4.97547169811
59,升旗餐厅,316533,4197994,东城区前门东大街甲2号,39.899452,116.40012,,,前门,"东城区,西城区,前门",京菜鲁菜,北京菜,北京菜,49,010-51015188,1,5996,1.5,290.1975,148.25,4.55583722482
60,相福四季涮肉,313794,3438361,大兴区亦庄天华西路天华园二里三区5号楼(近东晶国际),39.80011,116.49277,,,亦庄,"大兴区,亦庄",火锅,涮羊肉,涮羊肉,81,010-51061359,1,899.2,57.3333333333,9050.58333333,913.166666667,4.85480427046
61,小东北菜馆（通胡大街店）,281097,2299381,通州区通胡大街23号加华印象底商,39.91444,116.68845,,,武夷花园,"通州区,武夷花园",东北菜,东北菜,东北菜,47,010-51070188,1,8,0,14.05,7,3.5
62,韩时烤肉（西红门鸿坤广场店）,40398382,21372486,大兴区欣旺北大街8号鸿坤广场F4-06B,39.79134,116.339836,,,西红门,"大兴区,西红门",日韩料理,韩国料理,"韩国料理,烧烤",87,010-51078028,1,13148.8,4663.33333333,708448.66,195879.333333,4.96780238501
63,丁丁洋回转自助火锅（西红门店）,42122770,21610201,大兴区宏福路与新旺大街交叉口东北角鸿坤广场中心地下一层，永辉超市入口旁,39.79134,116.339836,,,西红门,"大兴区,西红门",火锅,自助餐,"自助餐,火锅,小火锅",40,010-51078051,1,3422.66666667,1064.5,43054.665,45747.75,3.97543825477
64,巴黎贝甜（鸿坤广场店）,68603230,24617753,大兴区宏福路鸿坤广场1层F24A25,39.79134,116.339836,,,西红门,"大兴区,西红门",甜点饮品,甜品饮品,甜品饮品,53,010-51078912,1,838.666666667,22,1342.1525,498.25,4.71383147854
65,爱江山（双子座店）,368566,4526251,朝阳区建国门外大街乙12号双子座大厦东塔5楼,39.907654,116.449196,,,建外大街,"朝阳区,建外大街,国贸",日韩料理,韩国料理,"韩国料理,烧烤",178,010-51096036,1,609,19.5,4873.445,517,3.8
66,好伦哥（六里桥餐厅）,1046180,2007472,丰台区六里桥亿客隆商城二层,39.879856,116.31224,,,六里桥/丽泽桥,"丰台区,六里桥/丽泽桥",自助餐,自助餐,自助餐,51,010-51120552,1,10244.3333333,7027.25,495909.935,501722.5,3.79022223668
67,蝎梁府（天竺镇店）,1661734,6235134,顺义区小天竺路国都大酒店西侧,40.048756,116.58903,,,首都机场,"朝阳区,顺义区,首都机场",其他美食,其他,美食,74,010-51143117,1,184,1,139.825,135,5
68,百度烤肉（方庄南路店）,1471682,5499810,丰台区南三环方庄南路(成仪路口),39.848495,116.439285,,,方庄,"丰台区,方庄",烧烤烤肉,烧烤,烧烤,75,010-51146682,1,305,67,6164,1534,4.3
69,宽板凳老灶火锅（小屯店）,41266043,22989241,丰台区小屯路9号立高大厦一层（久隆百货对面）,39.8891,116.25228,,,青塔,"丰台区,青塔",火锅,重庆火锅,重庆火锅,95,010-51151559,1,791,4127.5,371071.376667,241020,5
70,管氏翅吧（大成路店）,90512511,58036055,丰台区小屯路立高大厦旁（久隆百货对面）,39.88912,116.25235,,,青塔,"丰台区,青塔",烧烤烤肉,烧烤,烧烤,79,010-51151662,1,1434,0,15.8425,9,4.85
71,芦月轩羊蝎子（管庄店）,529126,2120539,朝阳区管庄东里中国建材研究总院院内,39.91681,116.593254,,,管庄,"朝阳区,管庄",火锅,羊蝎子,羊蝎子,82,010-51164001,1,2064,376.666666667,33861.93,59696.6666667,5
72,味多美(鲁谷大街店),6608938,17163080,石景山区黄庄村43号莲石路北区苗圃（玉泉路农副产皮交易市场四十号）,39.89813,116.24344,,,五棵松,"海淀区,五棵松",甜点饮品,面包甜点,面包甜点,95,010-51170030,1,143.5,1660,294282.998,65211,5
73,七星蒸尚游蒸汽海鲜餐厅,134715644,76848029,石景山区雕塑园南街玉鲁商厦西7号商铺,39.89756,116.24378,,,鲁谷,"石景山区,鲁谷",海鲜,海鲜,海鲜,95,010-51170096,1,88,0.5,185.1,36,4.9
74,阿田大虾火锅（鲁谷旗舰店）,5166497,15103232,石景山区雕塑园南街玉鲁商厦底商（近莲石路）,39.897808,116.24366,,,鲁谷,"石景山区,鲁谷",火锅,火锅,火锅,71,010-51170177,1,17661.3333333,249.25,23004.965,16043.75,4.74369621018
75,菇芳源香菇鸡（幸福大街店）,42646800,23672367,东城区幸福大街39-3（7天优品酒店隔壁）,39.889202,116.43039,,,天坛,"东城区,天坛",小吃快餐,快餐简餐,快餐简餐,16,010-51205505,1,376.666666667,56,1151.17714286,2245.71428571,4.48
76,富华烤鸭店（岳各庄店）,2574601,8995912,丰台区西四环中路130号玉明珠商务会馆1楼,39.878754,116.27818,,,青塔,"丰台区,青塔",京菜鲁菜,烤鸭,烤鸭,74,010-51211588,1,194,67.5,6265.5275,11002.25,3.87560137457
77,张老坎火锅（马家堡旗舰店）,113867186,70442910,丰台区西马场路6号院1号楼1单元商业1（角门东地铁站南（永辉超市斜对面））,39.84188,116.38488,,,大红门,"丰台区,大红门",火锅,火锅,火锅,87,010-51223598,1,40,4.5,422.955,233,3.6
78,朴家饭,1658586,5125351,大兴区亦庄经济技术开发区荣华中路7号国融国际底商,39.80117,116.50132,,,亦庄,"大兴区,亦庄",日韩料理,韩国料理,韩国料理,48,010-51241084,1,1776.66666667,5.5,376.5,632.25,4.88360225141
79,品味快乐蛋糕（裕龙店）,5251111,23214382,顺义区裕龙一街裕龙四区33号楼,40.123306,116.66967,,,顺义,"顺义区,顺义",甜点饮品,甜品饮品,甜品饮品,12,010-51241548,0,54.8571428571,1.875,264.92125,61.75,3.875
80,稻香村（裕龙店）,40313659,23214382,顺义区拥军路御龙四区33号楼底商,40.123306,116.66967,,,顺义,"顺义区,顺义",甜点饮品,甜品饮品,甜品饮品,12,010-51241548,0,124,6.25,449.375,238,4.7752688172
81,|蜀香石锅鱼|香辣大虾（苏家坨店）,6681869,10658859,海淀区苏家坨镇温阳路与北清路交叉口北拐进辅路200米（西小营南站）,40.072414,116.16096,,,海淀区,海淀区,火锅,鱼火锅,鱼火锅,51,010-51243393,1,2574,19.6666666667,1888.81666667,613.666666667,5
82,一手店（枣园店）,2447388,8028330,大兴区丽园路彩虹新城小区46号楼物美大卖场内,39.749516,116.33263,,,黄村,"大兴区,黄村",小吃快餐,熟食,熟食,32,010-51249534,1,,101,4545,1006,5
83,丽江龙记斑鱼庄（虎坊桥店）,52532149,24751701,西城区南横东街1-26号,39.883488,116.383675,,,虎坊桥,"西城区,虎坊桥",火锅,鱼火锅,鱼火锅,120,010-51255563,1,792,47,9476.1525,1366.5,4.88484848485
84,甜风集烘焙生活馆,4663734,93162987,丰台区西局西路58号院53号,39.869,116.43431,,,方庄,"丰台区,方庄",甜点饮品,面包甜点,面包甜点,,010-51281258,1,246,10,1335.86666667,260.666666667,4.7
85,花家怡园（四合院总店）,2424803,507755,东城区东直门内大街235号,39.94119,116.41897,,,北新桥/簋街,"东城区,北新桥/簋街",京菜鲁菜,北京菜,北京菜,158,010-51283315,1,2240.8,1.2,87.392,29.8,4.91119243127
86,花家怡园（东直门店）,262542,58730128,东城区东直门内大街5号（东直门桥往西150米路北）,39.94146,116.42919,,,东直门,"东城区,东直门",京菜鲁菜,北京菜,北京菜,142,010-51283316,1,1520.8,13.5,3420.58166667,125.833333333,4.71988427144
87,花家怡园（八爷府王府井店）,1644313,5433994,东城区王府井东街8号澳门中心商场3楼（澳门中心里）,39.914806,116.41305,,,王府井/东单,"东城区,王府井/东单",其他美食,北京菜,北京菜,193,010-51283326,1,1495,34.6666666667,12940.485,622.666666667,4.87357859532
88,花家怡园（世茂店）,541827,2655271,朝阳区建国路甲92号世茂大厦B座3楼301室（大望路西南侧）,39.907715,116.47121,,,国贸,"朝阳区,国贸",京菜鲁菜,北京菜,北京菜,140,010-51283329,1,845,0,387.265,27,4.2
89,金紫银海鲜平谷大酒店（平谷店）,6337953,22175502,平谷区南大门新平南路甲120号,40.133717,117.10536,,,平谷区,平谷区,海鲜,海鲜,海鲜,120,010-51323111,1,32,95.5,8404.11,6147,3.84375
90,面面聚道,5247746,9024926,东城区夕照寺中街29号北京黄河京都大酒店2层,39.88944,116.43699,,,广渠门,"东城区,广渠门",其他美食,山西菜,山西菜,85,010-51335588,1,23,11.5,929.37,613,5
91,伯牛记,90240612,57499944,丰台区珠江骏景北区底商2号楼101,39.85541,116.39683,,,洋桥/木樨园,"丰台区,洋桥/木樨园",烧烤烤肉,烧烤,烧烤,89,010-51363656,1,44,1,90,160,3.9
92,滇草香云南原生态汤火锅（三里屯店）,316637,3502657,朝阳区三里屯路33号3.3大厦4楼4118室（近三里屯village）,39.936638,116.4553,,,三里屯,"朝阳区,三里屯",云贵菜,云南菜,"云南菜,火锅",143,010-51365259,1,7788,62.5,9573.18,39761,5
93,福慧慈缘素食餐厅,358998,4210745,东城区王府井东安大街53号锡拉胡同(近王府井金钱豹),39.9162,116.40795,,,王府井/东单,"东城区,王府井/东单",素食,素菜,素菜,91,010-51385789,1,141,2,568.465,44.75,4.80496453901
94,果麦De鲜饮创作（万寿路店）,1539714,5861902,海淀区复兴路51号凯德晶品购物中心B1-42,39.90812,116.29717,,,公主坟/万寿路,"海淀区,公主坟/万寿路,五棵松",甜点饮品,甜品饮品,甜品饮品,12,010-51452008,1,951.5,1023.6,8542.954,21866.2,5
95,管氏翅吧（中关村店）,298212,2893540,海淀区彩和坊路208号（天创科技大厦2层）,39.982006,116.30886,,,中关村,"海淀区,中关村",烧烤烤肉,烧烤,"烧烤,海鲜",70,010-51455036,1,11292,0,0,0,5
96,京湘玉大酒楼,1656045,5509795,海淀区昆玉河西岸蓝靛厂南路55号金威大厦1楼（车道沟以南800米）,39.939835,116.29435,,,四季青,"海淀区,四季青",川湘菜,湘菜,湘菜,171,010-51505988,1,95,3.5,292.075,198,4
97,小红蕃薯（中关村店）,278285,2102668,海淀区北四环西路68号左岸工社富驿时尚酒店2楼（近中关村图书大厦）,39.98442,116.30406,,,中关村,"海淀区,中关村",台湾/客家菜,台湾菜,台湾菜,71,010-51553651,1,453.666666667,76.25,6944.54,5124,4.50146950771
98,吃货锅物料理,6533060,21024073,海淀区交大东路46号,39.950287,116.34882,,,北下关,"海淀区,北下关",火锅,韩国料理,"韩国料理,火锅",49,010-51562910,0,8954.66666667,94.5,7914.4525,3052.75,5
99,吃货爽爆的四川盐帮兔火锅,40717074,21024073,海淀区交大东路与交通大学路交口东南江边城外烤鱼东20米,39.950287,116.34882,,,北下关,"海淀区,北下关",日韩料理,韩国料理,"韩国料理,火锅",49,010-51562910,0,,16,1248,159,5
100,红色江山,276370,2010655,海淀区北大街60号首钢国际大厦1-3楼（西直门桥东北角）,39.945503,116.357216,,,北下关,"海淀区,北下关",粤港菜,粤菜馆,"粤菜馆,湘菜",268,010-51565555,1,420,14.3333333333,1641.18333333,578,4.38514285714
101,大鸭梨烤鸭店（怀柔店）,99574515,2067730,怀柔区迎宾中路40号,40.32048,116.63761,,,怀柔区,怀柔区,京菜鲁菜,烤鸭,烤鸭,98,010-51591666,1,1408,440.25,90689.73,16133.25,4.67604166667
102,鸿兆轩,5483233,13823191,怀柔区迎宾中路2号南楼,40.309563,116.63938,,,东关,"怀柔区,东关",京菜鲁菜,烤鸭,烤鸭,73,010-51593300,1,14,84,7392,552.5,3.8
103,食空猎人炙烤屋,41969720,22466370,海淀区中关村南大街2号，华宇时尚购物中心4层,39.965652,116.32309,,,中关村,"海淀区,中关村",烧烤烤肉,烧烤,烧烤,78,010-51626191,1,645,27,1210,381,4.5
104,七八冷面｜延边朝鲜族美食（华宇店）,4244200,24846629,海淀区中关村南大街2号华宇时尚购物中心夹层,39.96533,116.32326,,,双榆树,"海淀区,双榆树",其他美食,其他中餐,中餐,38,010-51626470,1,3924,82.5,5109.225,9672,5
105,8000M烤鱼（原黑森林餐厅）,295222,2779609,海淀区中关村南大街2号，数码大厦B座华宇时尚购物中心4楼（原黑森林烤鱼）,39.965652,116.32309,,,中关村,"海淀区,中关村",川湘菜,烤鱼,烤鱼,79,010-51627566,1,912,47,4748.00666667,1414.33333333,5
